path,name,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby
"/US FEDERAL GOVERNMENT/HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF (100000391)","HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF (100000391)",8600,086,,,,,,1996-07-30 00:00,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",100000391,100000391,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",1957-07-01 00:00,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100000391,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100000391,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100000391,nextlevelchildren,"HOUSING AND URBAN DEVELOPMENT, DEPARTMENT OF",8600,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO (300000545),INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO (300000545),19BM,019,,,,,DATA TEAM,2017-10-19 10:42,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO,300000545,300000545,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,2009-03-31 00:00,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,CREATE,,2009-03-31 00:00,300000545,INTERNATIONAL BOUNDARY AND WATER COMMISSION: US-MEXICO,Department/Ind. Agency,2019-12-11 19:12,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000545,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000545,nextlevelchildren,INTERNATIONAL BOUNDARY AND WATER COMMISSION: U.S.-MEXICO,,ACTIVE,IAE_26465_IBWC
"/US FEDERAL GOVERNMENT/INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998) (300000025)","INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998) (300000025)",3400,034,,,,,IAE_DATA_TEAM,2017-10-05 12:35,"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)",300000025,300000025,"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)",1957-07-01 00:00,"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)",,,,,,Department/Ind. Agency,2021-12-14 11:09,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000025,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000025,nextlevelchildren,"INTERNATIONAL TRADE COMMISSION, UNITED STATES (DUNS # 02-1877998)",,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/OFFICE OF PERSONNEL MANAGEMENT (300000020),OFFICE OF PERSONNEL MANAGEMENT (300000020),2400,024,,,,,IAE_DATA_TEAM,2017-10-05 12:35,OFFICE OF PERSONNEL MANAGEMENT,300000020,300000020,OFFICE OF PERSONNEL MANAGEMENT,1957-07-01 00:00,OFFICE OF PERSONNEL MANAGEMENT,CREATE,,1957-07-01 00:00,300000020,OFFICE OF PERSONNEL MANAGEMENT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000020,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000020,nextlevelchildren,OFFICE OF PERSONNEL MANAGEMENT,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/TRANSPORTATION, DEPARTMENT OF (100000136)","TRANSPORTATION, DEPARTMENT OF (100000136)",6900,069,,,,,,1996-07-30 00:00,"TRANSPORTATION, DEPARTMENT OF",100000136,100000136,"TRANSPORTATION, DEPARTMENT OF",1957-07-01 00:00,"TRANSPORTATION, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100000136,"TRANSPORTATION, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100000136,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100000136,nextlevelchildren,"TRANSPORTATION, DEPARTMENT OF",6900,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/TREASURY, DEPARTMENT OF THE (100013311)","TREASURY, DEPARTMENT OF THE (100013311)",2000,020,,,,,,2003-09-30 00:00,"TREASURY, DEPARTMENT OF THE",100013311,100013311,"TREASURY, DEPARTMENT OF THE",1957-07-01 00:00,"TREASURY, DEPARTMENT OF THE",CREATE,,1957-07-01 00:00,100013311,"TREASURY, DEPARTMENT OF THE",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100013311,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100013311,nextlevelchildren,"TREASURY, DEPARTMENT OF THE",2000,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/VETERANS AFFAIRS, DEPARTMENT OF (100006568)","VETERANS AFFAIRS, DEPARTMENT OF (100006568)",3600,036,,,,,,1996-07-30 00:00,"VETERANS AFFAIRS, DEPARTMENT OF",100006568,100006568,"VETERANS AFFAIRS, DEPARTMENT OF",1957-07-01 00:00,"VETERANS AFFAIRS, DEPARTMENT OF",CREATE,,1957-07-01 00:00,100006568,"VETERANS AFFAIRS, DEPARTMENT OF",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100006568,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100006568,nextlevelchildren,"VETERANS AFFAIRS, DEPARTMENT OF",3600,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL ENDOWMENT FOR THE ARTS (100241110),NATIONAL ENDOWMENT FOR THE ARTS (100241110),5920,417,,,,,,1996-07-30 00:00,NATIONAL ENDOWMENT FOR THE ARTS,100241110,100241110,NATIONAL ENDOWMENT FOR THE ARTS,1957-07-01 00:00,NATIONAL ENDOWMENT FOR THE ARTS,CREATE,,1957-07-01 00:00,100241110,NATIONAL ENDOWMENT FOR THE ARTS,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100241110,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100241110,nextlevelchildren,NATIONAL ENDOWMENT FOR THE ARTS,5920,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL ENDOWMENT FOR THE HUMANITIES (100171765),NATIONAL ENDOWMENT FOR THE HUMANITIES (100171765),4340,418,,,,,,2016-04-01 00:00,NATIONAL ENDOWMENT FOR THE HUMANITIES,100171765,100171765,NATIONAL ENDOWMENT FOR THE HUMANITIES,2018-10-01 00:00,NATIONAL ENDOWMENT FOR THE HUMANITIES,CREATE,,2018-10-01 00:00,100171765,NATIONAL ENDOWMENT FOR THE HUMANITIES,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100171765,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100171765,nextlevelchildren,NATIONAL ENDOWMENT FOR THE HUMANITIES,5940,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL GALLERY OF ART (100114303),NATIONAL GALLERY OF ART (100114303),3355,033,,,,,,2003-11-20 00:00,NATIONAL GALLERY OF ART,100114303,100114303,NATIONAL GALLERY OF ART,1957-07-01 00:00,NATIONAL GALLERY OF ART,CREATE,,1957-07-01 00:00,100114303,NATIONAL GALLERY OF ART,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100114303,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100114303,nextlevelchildren,NATIONAL GALLERY OF ART,3355,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL LABOR RELATIONS BOARD (100188615),NATIONAL LABOR RELATIONS BOARD (100188615),6300,420,,,,,,2016-04-12 00:00,NATIONAL LABOR RELATIONS BOARD,100188615,100188615,NATIONAL LABOR RELATIONS BOARD,1957-07-01 00:00,NATIONAL LABOR RELATIONS BOARD,CREATE,,1957-07-01 00:00,100188615,NATIONAL LABOR RELATIONS BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100188615,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100188615,nextlevelchildren,NATIONAL LABOR RELATIONS BOARD,6300,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL MEDIATION BOARD (300000061),NATIONAL MEDIATION BOARD (300000061),9524,421,,,,,IAE_DATA_TEAM,2017-10-05 12:35,NATIONAL MEDIATION BOARD,300000061,300000061,NATIONAL MEDIATION BOARD,1957-07-01 00:00,NATIONAL MEDIATION BOARD,CREATE,,1957-07-01 00:00,300000061,NATIONAL MEDIATION BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000061,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000061,nextlevelchildren,NATIONAL MEDIATION BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL (500178995),NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL (500178995),0575,575,,,,,brian.gilman+supadmin@gsa.gov,2021-08-26 13:25,NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL,500178995,500178995,NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL,2021-08-17 00:00,NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL,CREATE,,2021-08-17 00:00,500178995,NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL,Department/Ind. Agency,2021-08-26 14:21,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500178995,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500178995,nextlevelchildren,NATIONAL RAILROAD PASSENGER CORPORATION OFFICE OF INSPECTOR GENERAL,,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/NATIONAL SCIENCE FOUNDATION (100011765),NATIONAL SCIENCE FOUNDATION (100011765),4900,049,,,,,,2004-11-23 00:00,NATIONAL SCIENCE FOUNDATION,100011765,100011765,NATIONAL SCIENCE FOUNDATION,1957-07-01 00:00,NATIONAL SCIENCE FOUNDATION,,,,,,Department/Ind. Agency,2022-03-18 10:15,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100011765,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100011765,nextlevelchildren,NATIONAL SCIENCE FOUNDATION,4900,ACTIVE,adam.stansifer+fhadmin@gsa.gov
/US FEDERAL GOVERNMENT/NATIONAL TRANSPORTATION SAFETY BOARD (300000051),NATIONAL TRANSPORTATION SAFETY BOARD (300000051),9508,424,,,,,IAE_DATA_TEAM,2017-10-05 12:35,NATIONAL TRANSPORTATION SAFETY BOARD,300000051,300000051,NATIONAL TRANSPORTATION SAFETY BOARD,1957-07-01 00:00,NATIONAL TRANSPORTATION SAFETY BOARD,CREATE,,1957-07-01 00:00,300000051,NATIONAL TRANSPORTATION SAFETY BOARD,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000051,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000051,nextlevelchildren,NATIONAL TRANSPORTATION SAFETY BOARD,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/NATIONAL WOMEN'S BUSINESS COUNCIL (300000746),NATIONAL WOMEN'S BUSINESS COUNCIL (300000746),7360,,,,,,DATA TEAM,2017-12-11 15:45,NATIONAL WOMEN'S BUSINESS COUNCIL,300000746,300000746,NATIONAL WOMEN'S BUSINESS COUNCIL,1957-07-01 00:00,NATIONAL WOMEN'S BUSINESS COUNCIL,CREATE,,1957-07-01 00:00,300000746,NATIONAL WOMEN'S BUSINESS COUNCIL,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000746,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000746,nextlevelchildren,NATIONAL WOMEN'S BUSINESS COUNCIL,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/GOVERNMENT ACCOUNTABILITY OFFICE (300000006),GOVERNMENT ACCOUNTABILITY OFFICE (300000006),0500,005,,,,,IAE_DATA_TEAM,2017-10-05 12:35,GOVERNMENT ACCOUNTABILITY OFFICE,300000006,300000006,GOVERNMENT ACCOUNTABILITY OFFICE,1957-07-01 00:00,GOVERNMENT ACCOUNTABILITY OFFICE,CREATE,,1957-07-01 00:00,300000006,GOVERNMENT ACCOUNTABILITY OFFICE,Department/Ind. Agency,2021-08-02 06:17,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000006,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000006,nextlevelchildren,GOVERNMENT ACCOUNTABILITY OFFICE,,ACTIVE,brian.gilman+supadmin@gsa.gov
/US FEDERAL GOVERNMENT/GULF COAST ECOSYSTEM RESTORATION COUNCIL (100152711),GULF COAST ECOSYSTEM RESTORATION COUNCIL (100152711),9533,471,,,,,,2015-07-16 00:00,GULF COAST ECOSYSTEM RESTORATION COUNCIL,100152711,100152711,GULF COAST ECOSYSTEM RESTORATION COUNCIL,2013-03-14 00:00,GULF COAST ECOSYSTEM RESTORATION COUNCIL,CREATE,,2013-03-14 00:00,100152711,GULF COAST ECOSYSTEM RESTORATION COUNCIL,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=100152711,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=100152711,nextlevelchildren,GULF COAST ECOSYSTEM RESTORATION COUNCIL,9533,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/HARRY S TRUMAN SCHOLARSHIP FOUNDATION (300000052),HARRY S TRUMAN SCHOLARSHIP FOUNDATION (300000052),9510,372,,,,,IAE_DATA_TEAM,2017-10-05 12:35,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,300000052,300000052,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,1957-07-01 00:00,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,CREATE,,1957-07-01 00:00,300000052,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000052,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000052,nextlevelchildren,HARRY S TRUMAN SCHOLARSHIP FOUNDATION,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/HOUSE OF REPRESENTATIVES, THE (300000003)","HOUSE OF REPRESENTATIVES, THE (300000003)",0050,000,,,,,IAE_DATA_TEAM,2017-10-05 12:35,"HOUSE OF REPRESENTATIVES, THE",300000003,300000003,"HOUSE OF REPRESENTATIVES, THE",2003-06-07 00:00,"HOUSE OF REPRESENTATIVES, THE",CREATE,,2003-06-07 00:00,300000003,"HOUSE OF REPRESENTATIVES, THE",Department/Ind. Agency,2020-07-20 22:16,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000003,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000003,nextlevelchildren,"HOUSE OF REPRESENTATIVES, THE",,ACTIVE,anagha.kohojkar+2@gsa.gov
/US FEDERAL GOVERNMENT/INDIAN LAW AND ORDER COMMISSION (300000027),INDIAN LAW AND ORDER COMMISSION (300000027),4811,584,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INDIAN LAW AND ORDER COMMISSION,300000027,300000027,INDIAN LAW AND ORDER COMMISSION,2010-09-27 00:00,INDIAN LAW AND ORDER COMMISSION,CREATE,,2010-09-27 00:00,300000027,INDIAN LAW AND ORDER COMMISSION,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000027,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000027,nextlevelchildren,INDIAN LAW AND ORDER COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT (300000065),INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT (300000065),9535,373,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT,300000065,300000065,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT,1957-07-01 00:00,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT,CREATE,,1957-07-01 00:00,300000065,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000065,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000065,nextlevelchildren,INSTITUTE OF AMERICAN INDIAN AND ALASKA NATIVE CULTURE AND ARTS DEVELOPMENT,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT (300000060),INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT (300000060),9519,467,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,300000060,300000060,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,1957-07-01 00:00,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,CREATE,,1957-07-01 00:00,300000060,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000060,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000060,nextlevelchildren,INTELLIGENCE COMMUNITY MANAGEMENT ACCOUNT,,ACTIVE,IAE_32313_ICMA
/US FEDERAL GOVERNMENT/Surface Transportation Board (500037111),Surface Transportation Board (500037111),9505,472,,,,,UI,2018-10-22 14:51,Surface Transportation Board,500037111,500037111,Surface Transportation Board,2018-09-01 00:00,Surface Transportation Board,CREATE,,2018-09-01 00:00,500037111,Surface Transportation Board,Department/Ind. Agency,2019-09-14 18:41,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=500037111,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=500037111,nextlevelchildren,Surface Transportation Board,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/TENNESSEE VALLEY AUTHORITY (300000041),TENNESSEE VALLEY AUTHORITY (300000041),6400,455,,,,,IAE_DATA_TEAM,2017-10-05 12:35,TENNESSEE VALLEY AUTHORITY,300000041,300000041,TENNESSEE VALLEY AUTHORITY,1957-07-01 00:00,TENNESSEE VALLEY AUTHORITY,CREATE,,1957-07-01 00:00,300000041,TENNESSEE VALLEY AUTHORITY,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000041,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000041,nextlevelchildren,TENNESSEE VALLEY AUTHORITY,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY (300000053),THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY (300000053),9511,542,,,,,IAE_DATA_TEAM,2017-10-05 12:35,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY ,300000053,300000053,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY ,2008-10-14 00:00,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY ,,,,,,Department/Ind. Agency,2023-04-14 10:20,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000053,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000053,nextlevelchildren,THE COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,,ACTIVE,adam.stansifer+fhadmin@gsa.gov
/US FEDERAL GOVERNMENT/THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES (300000036),THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES (300000036),5300,474,,,,,IAE_DATA_TEAM,2017-10-05 12:35,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,300000036,300000036,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,2012-06-12 00:00,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,CREATE,,2012-06-12 00:00,300000036,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000036,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000036,nextlevelchildren,THE INSTITUTE OF MUSEUM AND LIBRARY SERVICES,,ACTIVE,IAE_32314_START_DATE_FIX
/US FEDERAL GOVERNMENT/THE JUDICIAL BRANCH (300000010),THE JUDICIAL BRANCH (300000010),1000,010,,,,,IAE_DATA_TEAM,2017-10-05 12:35,THE JUDICIAL BRANCH,300000010,300000010,THE JUDICIAL BRANCH,1957-07-01 00:00,THE JUDICIAL BRANCH,CREATE,,1957-07-01 00:00,300000010,THE JUDICIAL BRANCH,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000010,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000010,nextlevelchildren,THE JUDICIAL BRANCH,,ACTIVE,FPDS_START_DATE_FIX
"/US FEDERAL GOVERNMENT/SENATE, THE (300000002)","SENATE, THE (300000002)",0010,000,,,,,IAE_DATA_TEAM,2017-10-05 12:35,"SENATE, THE",300000002,300000002,"SENATE, THE",1957-07-01 00:00,"SENATE, THE",CREATE,,1957-07-01 00:00,300000002,"SENATE, THE",Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000002,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000002,nextlevelchildren,"SENATE, THE",,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/THE LEGISLATIVE BRANCH (300000001),THE LEGISLATIVE BRANCH (300000001),0000,002,,,,,IAE_DATA_TEAM,2017-10-05 12:35,THE LEGISLATIVE BRANCH,300000001,300000001,THE LEGISLATIVE BRANCH,1957-07-01 00:00,THE LEGISLATIVE BRANCH,CREATE,,1957-07-01 00:00,300000001,THE LEGISLATIVE BRANCH,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000001,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000001,nextlevelchildren,THE LEGISLATIVE BRANCH,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTERSTATE COMMERCE COMMISSION (300000023),INTERSTATE COMMERCE COMMISSION (300000023),3000,030,,,,,IAE_DATA_TEAM,2017-10-05 12:35,INTERSTATE COMMERCE COMMISSION,300000023,300000023,INTERSTATE COMMERCE COMMISSION,1957-07-01 00:00,INTERSTATE COMMERCE COMMISSION,CREATE,,1957-07-01 00:00,300000023,INTERSTATE COMMERCE COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000023,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000023,nextlevelchildren,INTERSTATE COMMERCE COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN (300000715),INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN (300000715),4607,046,,,,,DATA TEAM,2017-12-11 15:45,INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN,300000715,300000715,INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN,1957-07-01 00:00,INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN,CREATE,,1957-07-01 00:00,300000715,INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000715,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000715,nextlevelchildren,INTERSTATE COMMISSION ON THE POTOMAC RIVER BASIN,,ACTIVE,FPDS_START_DATE_FIX
/US FEDERAL GOVERNMENT/JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION (300000068),JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION (300000068),9541,381,,,,,IAE_DATA_TEAM,2017-10-05 12:35,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,300000068,300000068,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,1957-07-01 00:00,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,CREATE,,1957-07-01 00:00,300000068,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,Department/Ind. Agency,2019-11-21 23:04,https://api.sam.gov/prod/federalorganizations/v1/orgs?fhorgid=300000068,self,https://api.sam.gov/prod/federalorganizations/v1/org/hierarchy?fhorgid=300000068,nextlevelchildren,JAMES MADISON MEMORIAL FELLOWSHIP COMMISSION,,ACTIVE,FPDS_START_DATE_FIX
