path,name,budget
/US FEDERAL GOVERNMENT/[budget] Federal Mediation and Conciliation Service (367)/[budget] Federal Mediation and Conciliation Service (367-0),[budget] Federal Mediation and Conciliation Service (367-0),"{'budget_level': 'bureau', 'agency_code': 367, 'agency_name': 'Federal Mediation and Conciliation Service', 'bureau_code': 0, 'bureau_name': 'Federal Mediation and Conciliation Service', '2019': 48000, '2020': 47000, '2021': 46000, '2022': 46000, '2023': 55000, '2024': 56000, 'name': 'Federal Mediation and Conciliation Service', 'id': '367-0'}"
/US FEDERAL GOVERNMENT/[budget] National Labor Relations Board (420),[budget] National Labor Relations Board (420),"{'budget_level': 'agency', 'agency_code': 420, 'agency_name': 'National Labor Relations Board', '2019': 264000, '2020': 272000, '2021': 271000, '2022': 280000, '2023': 307000, '2024': 369000, 'name': 'National Labor Relations Board', 'id': '420'}"
/US FEDERAL GOVERNMENT/[budget] National Labor Relations Board (420)/[budget] National Labor Relations Board (420-0),[budget] National Labor Relations Board (420-0),"{'budget_level': 'bureau', 'agency_code': 420, 'agency_name': 'National Labor Relations Board', 'bureau_code': 0, 'bureau_name': 'National Labor Relations Board', '2019': 264000, '2020': 272000, '2021': 271000, '2022': 280000, '2023': 307000, '2024': 369000, 'name': 'National Labor Relations Board', 'id': '420-0'}"
/US FEDERAL GOVERNMENT/[budget] National Endowment for the Humanities (418),[budget] National Endowment for the Humanities (418),"{'budget_level': 'agency', 'agency_code': 418, 'agency_name': 'National Endowment for the Humanities', '2019': 139000, '2020': 160000, '2021': 194000, '2022': 216000, '2023': 371000, '2024': 207000, 'name': 'National Endowment for the Humanities', 'id': '418'}"
/US FEDERAL GOVERNMENT/[budget] National Endowment for the Humanities (418)/[budget] National Endowment for the Humanities (418-0),[budget] National Endowment for the Humanities (418-0),"{'budget_level': 'bureau', 'agency_code': 418, 'agency_name': 'National Endowment for the Humanities', 'bureau_code': 0, 'bureau_name': 'National Endowment for the Humanities', '2019': 139000, '2020': 160000, '2021': 194000, '2022': 216000, '2023': 371000, '2024': 207000, 'name': 'National Endowment for the Humanities', 'id': '418-0'}"
/US FEDERAL GOVERNMENT/[budget] Barry Goldwater Scholarship and Excellence in Education Foundation (313),[budget] Barry Goldwater Scholarship and Excellence in Education Foundation (313),"{'budget_level': 'agency', 'agency_code': 313, 'agency_name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', '2019': -5000, '2020': 4000, '2021': 4000, '2022': 3000, '2023': 2000, '2024': 2000, 'name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'id': '313'}"
/US FEDERAL GOVERNMENT/[budget] Barry Goldwater Scholarship and Excellence in Education Foundation (313)/[budget] Barry Goldwater Scholarship and Excellence in Education Foundation (313-0),[budget] Barry Goldwater Scholarship and Excellence in Education Foundation (313-0),"{'budget_level': 'bureau', 'agency_code': 313, 'agency_name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'bureau_code': 0, 'bureau_name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', '2019': -5000, '2020': 4000, '2021': 4000, '2022': 3000, '2023': 2000, '2024': 2000, 'name': 'Barry Goldwater Scholarship and Excellence in Education Foundation', 'id': '313-0'}"
/US FEDERAL GOVERNMENT/[budget] Neighborhood Reinvestment Corporation (428),[budget] Neighborhood Reinvestment Corporation (428),"{'budget_level': 'agency', 'agency_code': 428, 'agency_name': 'Neighborhood Reinvestment Corporation', '2019': 152000, '2020': 159000, '2021': 265000, '2022': 166000, '2023': 170000, '2024': 172000, 'name': 'Neighborhood Reinvestment Corporation', 'id': '428'}"
/US FEDERAL GOVERNMENT/[budget] Neighborhood Reinvestment Corporation (428)/[budget] Neighborhood Reinvestment Corporation (428-0),[budget] Neighborhood Reinvestment Corporation (428-0),"{'budget_level': 'bureau', 'agency_code': 428, 'agency_name': 'Neighborhood Reinvestment Corporation', 'bureau_code': 0, 'bureau_name': 'Neighborhood Reinvestment Corporation', '2019': 152000, '2020': 159000, '2021': 265000, '2022': 166000, '2023': 170000, '2024': 172000, 'name': 'Neighborhood Reinvestment Corporation', 'id': '428-0'}"
/US FEDERAL GOVERNMENT/[budget] Federal Financial Institutions Examination Council (362),[budget] Federal Financial Institutions Examination Council (362),"{'budget_level': 'agency', 'agency_code': 362, 'agency_name': 'Federal Financial Institutions Examination Council', '2019': 19000, '2020': 18000, '2021': 19000, '2022': 22000, '2023': 26000, '2024': 27000, 'name': 'Federal Financial Institutions Examination Council', 'id': '362'}"
/US FEDERAL GOVERNMENT/[budget] Federal Financial Institutions Examination Council (362)/[budget] Federal Financial Institutions Examination Council Appraisal Subcommittee (362-20),[budget] Federal Financial Institutions Examination Council Appraisal Subcommittee (362-20),"{'budget_level': 'bureau', 'agency_code': 362, 'agency_name': 'Federal Financial Institutions Examination Council', 'bureau_code': 20, 'bureau_name': 'Federal Financial Institutions Examination Council Appraisal Subcommittee', '2019': 3000, '2020': 4000, '2021': 4000, '2022': 6000, '2023': 5000, '2024': 6000, 'name': 'Federal Financial Institutions Examination Council Appraisal Subcommittee', 'id': '362-20'}"
/US FEDERAL GOVERNMENT/[budget] Federal Financial Institutions Examination Council (362)/[budget] Federal Financial Institutions Examination Council (362-10),[budget] Federal Financial Institutions Examination Council (362-10),"{'budget_level': 'bureau', 'agency_code': 362, 'agency_name': 'Federal Financial Institutions Examination Council', 'bureau_code': 10, 'bureau_name': 'Federal Financial Institutions Examination Council', '2019': 16000, '2020': 14000, '2021': 15000, '2022': 16000, '2023': 21000, '2024': 21000, 'name': 'Federal Financial Institutions Examination Council', 'id': '362-10'}"
/US FEDERAL GOVERNMENT/[budget] Federal Financial Institutions Examination Council (362)/[budget] Federal Financial Institutions Examination Council (362-10)/[budget] Federal Financial Institutions Examination Council Activities (362-10-5547),[budget] Federal Financial Institutions Examination Council Activities (362-10-5547),"{'budget_level': 'account', 'agency_code': 362, 'agency_name': 'Federal Financial Institutions Examination Council', 'bureau_code': 10, 'bureau_name': 'Federal Financial Institutions Examination Council', 'account_code': 5547, 'account_name': 'Federal Financial Institutions Examination Council Activities', '2019': 16000, '2020': 14000, '2021': 15000, '2022': 16000, '2023': 21000, '2024': 21000, 'name': 'Federal Financial Institutions Examination Council Activities', 'id': '362-10-5547'}"
/US FEDERAL GOVERNMENT/[budget] Southwest Border Regional Commission (569),[budget] Southwest Border Regional Commission (569),"{'budget_level': 'agency', 'agency_code': 569, 'agency_name': 'Southwest Border Regional Commission', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 0, '2024': 3000, 'name': 'Southwest Border Regional Commission', 'id': '569'}"
/US FEDERAL GOVERNMENT/[budget] Southwest Border Regional Commission (569)/[budget] Southwest Border Regional Commission (569-0),[budget] Southwest Border Regional Commission (569-0),"{'budget_level': 'bureau', 'agency_code': 569, 'agency_name': 'Southwest Border Regional Commission', 'bureau_code': 0, 'bureau_name': 'Southwest Border Regional Commission', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': 0, '2024': 3000, 'name': 'Southwest Border Regional Commission', 'id': '569-0'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18),[budget] Department of Education (18),"{'budget_level': 'agency', 'agency_code': 18, 'agency_name': 'Department of Education', '2019': 104366000, '2020': 204416000, '2021': 260449000, '2022': 639365000, '2023': 226204000, '2024': 171453000, 'name': 'Department of Education', 'id': '18'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of English Language Acquisition (18-15),[budget] Office of English Language Acquisition (18-15),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 15, 'bureau_name': 'Office of English Language Acquisition', '2019': 749000, '2020': 681000, '2021': 672000, '2022': 753000, '2023': 551000, '2024': 850000, 'name': 'Office of English Language Acquisition', 'id': '18-15'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Innovation and Improvement (18-12),[budget] Office of Innovation and Improvement (18-12),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 12, 'bureau_name': 'Office of Innovation and Improvement', '2019': 952000, '2020': 887000, '2021': 893000, '2022': 818000, '2023': 1547000, '2024': 1528000, 'name': 'Office of Innovation and Improvement', 'id': '18-12'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Disaster Education Recovery (18-85),[budget] Disaster Education Recovery (18-85),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 85, 'bureau_name': 'Disaster Education Recovery', '2019': 368000, '2020': 279000, '2021': 295000, '2022': 94000, '2023': 206000, '2024': 27000, 'name': 'Disaster Education Recovery', 'id': '18-85'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Departmental Management (18-80),[budget] Departmental Management (18-80),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 80, 'bureau_name': 'Departmental Management', '2019': 602000, '2020': 577000, '2021': 635000, '2022': 607000, '2023': 739000, '2024': 783000, 'name': 'Departmental Management', 'id': '18-80'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Departmental Management (18-80)/[budget] Program Administration (18-80-800),[budget] Program Administration (18-80-800),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 80, 'bureau_name': 'Departmental Management', 'account_code': 800, 'account_name': 'Program Administration', '2019': 421000, '2020': 397000, '2021': 436000, '2022': 413000, '2023': 509000, '2024': 495000, 'name': 'Program Administration', 'id': '18-80-800'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Departmental Management (18-80)/[budget] Office for Civil Rights (18-80-700),[budget] Office for Civil Rights (18-80-700),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 80, 'bureau_name': 'Departmental Management', 'account_code': 700, 'account_name': 'Office for Civil Rights', '2019': 120000, '2020': 120000, '2021': 137000, '2022': 127000, '2023': 149000, '2024': 174000, 'name': 'Office for Civil Rights', 'id': '18-80-700'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Departmental Management (18-80)/[budget] Office of Inspector General (18-80-1400),[budget] Office of Inspector General (18-80-1400),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 80, 'bureau_name': 'Departmental Management', 'account_code': 1400, 'account_name': 'Office of Inspector General', '2019': 61000, '2020': 60000, '2021': 62000, '2022': 67000, '2023': 77000, '2024': 85000, 'name': 'Office of Inspector General', 'id': '18-80-1400'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Institute of Education Sciences (18-50),[budget] Institute of Education Sciences (18-50),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 50, 'bureau_name': 'Institute of Education Sciences', '2019': 651000, '2020': 576000, '2021': 555000, '2022': 659000, '2023': 638000, '2024': 774000, 'name': 'Institute of Education Sciences', 'id': '18-50'}"
"/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Career, Technical, and Adult Education (18-30)","[budget] Office of Career, Technical, and Adult Education (18-30)","{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 30, 'bureau_name': 'Office of Career, Technical, and Adult Education', '2019': 1798000, '2020': 1709000, '2021': 1827000, '2022': 1887000, '2023': 1861000, '2024': 2054000, 'name': 'Office of Career, Technical, and Adult Education', 'id': '18-30'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Federal Student Aid (18-45),[budget] Office of Federal Student Aid (18-45),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 45, 'bureau_name': 'Office of Federal Student Aid', '2019': 69396000, '2020': 160914000, '2021': 170470000, '2022': 539830000, '2023': 105860000, '2024': 55951000, 'name': 'Office of Federal Student Aid', 'id': '18-45'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Federal Student Aid (18-45)/[budget] Federal Direct Student Loan Program (18-45-243),[budget] Federal Direct Student Loan Program (18-45-243),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 45, 'bureau_name': 'Office of Federal Student Aid', 'account_code': 243, 'account_name': 'Federal Direct Student Loan Program', '2019': 33235000, '2020': 113305000, '2021': 130044000, '2022': 473446000, '2023': 71562000, '2024': 24803000, 'name': 'Federal Direct Student Loan Program', 'id': '18-45-243'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Federal Student Aid (18-45)/[budget] TEACH Grant Program (18-45-206),[budget] TEACH Grant Program (18-45-206),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 45, 'bureau_name': 'Office of Federal Student Aid', 'account_code': 206, 'account_name': 'TEACH Grant Program', '2019': 31000, '2020': 54000, '2021': 153000, '2022': 172000, '2023': 62000, '2024': 35000, 'name': 'TEACH Grant Program', 'id': '18-45-206'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Elementary and Secondary Education (18-10),[budget] Office of Elementary and Secondary Education (18-10),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 10, 'bureau_name': 'Office of Elementary and Secondary Education', '2019': 22757000, '2020': 33536000, '2021': 71347000, '2022': 102808000, '2023': 107736000, '2024': 88764000, 'name': 'Office of Elementary and Secondary Education', 'id': '18-10'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Special Education and Rehabilitative Services (18-20),[budget] Office of Special Education and Rehabilitative Services (18-20),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 20, 'bureau_name': 'Office of Special Education and Rehabilitative Services', '2019': 16582000, '2020': 16269000, '2021': 15940000, '2022': 17974000, '2023': 16973000, '2024': 18094000, 'name': 'Office of Special Education and Rehabilitative Services', 'id': '18-20'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Special Education and Rehabilitative Services (18-20)/[budget] National Technical Institute for the Deaf (18-20-601),[budget] National Technical Institute for the Deaf (18-20-601),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 20, 'bureau_name': 'Office of Special Education and Rehabilitative Services', 'account_code': 601, 'account_name': 'National Technical Institute for the Deaf', '2019': 75000, '2020': 77000, '2021': 86000, '2022': 94000, '2023': 120000, '2024': 93000, 'name': 'National Technical Institute for the Deaf', 'id': '18-20-601'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Postsecondary Education (18-40),[budget] Office of Postsecondary Education (18-40),"{'budget_level': 'bureau', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 40, 'bureau_name': 'Office of Postsecondary Education', '2019': 2733000, '2020': 2651000, '2021': 4440000, '2022': 3022000, '2023': 3808000, '2024': 4027000, 'name': 'Office of Postsecondary Education', 'id': '18-40'}"
/US FEDERAL GOVERNMENT/[budget] Department of Education (18)/[budget] Office of Postsecondary Education (18-40)/[budget] College Housing and Academic Facilities Loans Program (18-40-241),[budget] College Housing and Academic Facilities Loans Program (18-40-241),"{'budget_level': 'account', 'agency_code': 18, 'agency_name': 'Department of Education', 'bureau_code': 40, 'bureau_name': 'Office of Postsecondary Education', 'account_code': 241, 'account_name': 'College Housing and Academic Facilities Loans Program', '2019': 54000, '2020': 79000, '2021': 1736000, '2022': 295000, '2023': 82000, '2024': 17000, 'name': 'College Housing and Academic Facilities Loans Program', 'id': '18-40-241'}"
/US FEDERAL GOVERNMENT/[budget] Federal Trade Commission (370),[budget] Federal Trade Commission (370),"{'budget_level': 'agency', 'agency_code': 370, 'agency_name': 'Federal Trade Commission', '2019': 173000, '2020': 218000, '2021': 91000, '2022': 133000, '2023': 117000, '2024': 186000, 'name': 'Federal Trade Commission', 'id': '370'}"
/US FEDERAL GOVERNMENT/[budget] Federal Trade Commission (370)/[budget] Federal Trade Commission (370-0),[budget] Federal Trade Commission (370-0),"{'budget_level': 'bureau', 'agency_code': 370, 'agency_name': 'Federal Trade Commission', 'bureau_code': 0, 'bureau_name': 'Federal Trade Commission', '2019': 173000, '2020': 218000, '2021': 91000, '2022': 133000, '2023': 117000, '2024': 186000, 'name': 'Federal Trade Commission', 'id': '370-0'}"
/US FEDERAL GOVERNMENT/[budget] Bureau of Consumer Financial Protection (581),[budget] Bureau of Consumer Financial Protection (581),"{'budget_level': 'agency', 'agency_code': 581, 'agency_name': 'Bureau of Consumer Financial Protection', '2019': 464000, '2020': 512000, '2021': 660000, '2022': 684000, '2023': 890000, '2024': 1052000, 'name': 'Bureau of Consumer Financial Protection', 'id': '581'}"
/US FEDERAL GOVERNMENT/[budget] Bureau of Consumer Financial Protection (581)/[budget] Bureau of Consumer Financial Protection (581-0),[budget] Bureau of Consumer Financial Protection (581-0),"{'budget_level': 'bureau', 'agency_code': 581, 'agency_name': 'Bureau of Consumer Financial Protection', 'bureau_code': 0, 'bureau_name': 'Bureau of Consumer Financial Protection', '2019': 464000, '2020': 512000, '2021': 660000, '2022': 684000, '2023': 890000, '2024': 1052000, 'name': 'Bureau of Consumer Financial Protection', 'id': '581-0'}"
/US FEDERAL GOVERNMENT/[budget] Allowances (900),[budget] Allowances (900),"{'budget_level': 'agency', 'agency_code': 900, 'agency_name': 'Allowances', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': -17770000, '2024': 24930000, 'name': 'Allowances', 'id': '900'}"
/US FEDERAL GOVERNMENT/[budget] Allowances (900)/[budget] Allowances (900-5),[budget] Allowances (900-5),"{'budget_level': 'bureau', 'agency_code': 900, 'agency_name': 'Allowances', 'bureau_code': 5, 'bureau_name': 'Allowances', '2019': 0, '2020': 0, '2021': 0, '2022': 0, '2023': -17770000, '2024': 24930000, 'name': 'Allowances', 'id': '900-5'}"
/US FEDERAL GOVERNMENT/[budget] District of Columbia (349),[budget] District of Columbia (349),"{'budget_level': 'agency', 'agency_code': 349, 'agency_name': 'District of Columbia', '2019': 907000, '2020': 970000, '2021': 1007000, '2022': 957000, '2023': 998000, '2024': 1041000, 'name': 'District of Columbia', 'id': '349'}"
/US FEDERAL GOVERNMENT/[budget] District of Columbia (349)/[budget] District of Columbia Courts (349-10),[budget] District of Columbia Courts (349-10),"{'budget_level': 'bureau', 'agency_code': 349, 'agency_name': 'District of Columbia', 'bureau_code': 10, 'bureau_name': 'District of Columbia Courts', '2019': 305000, '2020': 317000, '2021': 317000, '2022': 340000, '2023': 331000, '2024': 360000, 'name': 'District of Columbia Courts', 'id': '349-10'}"
/US FEDERAL GOVERNMENT/[budget] District of Columbia (349)/[budget] District of Columbia General and Special Payments (349-30),[budget] District of Columbia General and Special Payments (349-30),"{'budget_level': 'bureau', 'agency_code': 349, 'agency_name': 'District of Columbia', 'bureau_code': 30, 'bureau_name': 'District of Columbia General and Special Payments', '2019': 602000, '2020': 653000, '2021': 690000, '2022': 617000, '2023': 667000, '2024': 681000, 'name': 'District of Columbia General and Special Payments', 'id': '349-30'}"
/US FEDERAL GOVERNMENT/[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373),[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373),"{'budget_level': 'agency', 'agency_code': 373, 'agency_name': 'Institute of American Indian and Alaska Native Culture and Arts Development', '2019': 10000, '2020': 11000, '2021': 11000, '2022': 12000, '2023': 13000, '2024': 14000, 'name': 'Institute of American Indian and Alaska Native Culture and Arts Development', 'id': '373'}"
/US FEDERAL GOVERNMENT/[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373)/[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373-0),[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373-0),"{'budget_level': 'bureau', 'agency_code': 373, 'agency_name': 'Institute of American Indian and Alaska Native Culture and Arts Development', 'bureau_code': 0, 'bureau_name': 'Institute of American Indian and Alaska Native Culture and Arts Development', '2019': 10000, '2020': 11000, '2021': 11000, '2022': 12000, '2023': 13000, '2024': 14000, 'name': 'Institute of American Indian and Alaska Native Culture and Arts Development', 'id': '373-0'}"
/US FEDERAL GOVERNMENT/[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373)/[budget] Institute of American Indian and Alaska Native Culture and Arts Development (373-0)/[budget] Payment to the Institute (373-0-2900),[budget] Payment to the Institute (373-0-2900),"{'budget_level': 'account', 'agency_code': 373, 'agency_name': 'Institute of American Indian and Alaska Native Culture and Arts Development', 'bureau_code': 0, 'bureau_name': 'Institute of American Indian and Alaska Native Culture and Arts Development', 'account_code': 2900, 'account_name': 'Payment to the Institute', '2019': 10000, '2020': 11000, '2021': 11000, '2022': 12000, '2023': 13000, '2024': 14000, 'name': 'Payment to the Institute', 'id': '373-0-2900'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15),[budget] Department of the Treasury (15),"{'budget_level': 'agency', 'agency_code': 15, 'agency_name': 'Department of the Treasury', '2019': 689496000, '2020': 1151724000, '2021': 1633751000, '2022': 1162219000, '2023': 1097529000, '2024': 1426705000, 'name': 'Department of the Treasury', 'id': '15'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Bureau of Engraving and Printing (15-20),[budget] Bureau of Engraving and Printing (15-20),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 20, 'bureau_name': 'Bureau of Engraving and Printing', '2019': -55000, '2020': 74000, '2021': 70000, '2022': -39000, '2023': 132000, '2024': 499000, 'name': 'Bureau of Engraving and Printing', 'id': '15-20'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Interest on the Public Debt (15-60),[budget] Interest on the Public Debt (15-60),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 60, 'bureau_name': 'Interest on the Public Debt', '2019': 572913000, '2020': 522652000, '2021': 562388000, '2022': 717611000, '2023': 897717000, '2024': 1006910000, 'name': 'Interest on the Public Debt', 'id': '15-60'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5),[budget] Departmental Offices (15-5),"{'budget_level': 'bureau', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', '2019': 3157000, '2020': 210557000, '2021': 302141000, '2022': 136688000, '2023': 14554000, '2024': 7764000, 'name': 'Departmental Offices', 'id': '15-5'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Small Business Lending Fund Program (15-5-141),[budget] Small Business Lending Fund Program (15-5-141),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 141, 'account_name': 'Small Business Lending Fund Program', '2019': 5000, '2020': 6000, '2021': 1000, '2022': 1000, '2023': 4000, '2024': 3000, 'name': 'Small Business Lending Fund Program', 'id': '15-5-141'}"
"/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Community Development Financial Institutions Fund Program, Emergency Support (15-5-160)","[budget] Community Development Financial Institutions Fund Program, Emergency Support (15-5-160)","{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 160, 'account_name': 'Community Development Financial Institutions Fund Program, Emergency Support', '2019': 0, '2020': 0, '2021': 1085000, '2022': 110000, '2023': 771000, '2024': 345000, 'name': 'Community Development Financial Institutions Fund Program, Emergency Support', 'id': '15-5-160'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Economic Stabilization Program (15-5-1889),[budget] Economic Stabilization Program (15-5-1889),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 1889, 'account_name': 'Economic Stabilization Program', '2019': 0, '2020': 19331000, '2021': 1150000, '2022': 8000, '2023': 5000, '2024': 18000, 'name': 'Economic Stabilization Program', 'id': '15-5-1889'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Office of Financial Stability (15-5-128),[budget] Office of Financial Stability (15-5-128),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 128, 'account_name': 'Office of Financial Stability', '2019': 54000, '2020': 44000, '2021': 31000, '2022': 34000, '2023': 29000, '2024': 21000, 'name': 'Office of Financial Stability', 'id': '15-5-128'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Office of Terrorism and Financial Intelligence (15-5-1804),[budget] Office of Terrorism and Financial Intelligence (15-5-1804),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 1804, 'account_name': 'Office of Terrorism and Financial Intelligence', '2019': 143000, '2020': 156000, '2021': 179000, '2022': 187000, '2023': 228000, '2024': 233000, 'name': 'Office of Terrorism and Financial Intelligence', 'id': '15-5-1804'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] GSE Mortgage-backed Securities Purchase Program (15-5-126),[budget] GSE Mortgage-backed Securities Purchase Program (15-5-126),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 126, 'account_name': 'GSE Mortgage-backed Securities Purchase Program', '2019': 1000, '2020': 1000, '2021': 1000, '2022': 1000, '2023': 1000, '2024': 1000, 'name': 'GSE Mortgage-backed Securities Purchase Program', 'id': '15-5-126'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Special Inspector General for the Troubled Asset Relief Program (15-5-133),[budget] Special Inspector General for the Troubled Asset Relief Program (15-5-133),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 133, 'account_name': 'Special Inspector General for the Troubled Asset Relief Program', '2019': 28000, '2020': 23000, '2021': 21000, '2022': 16000, '2023': 9000, '2024': 2000, 'name': 'Special Inspector General for the Troubled Asset Relief Program', 'id': '15-5-133'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Terrorism Insurance Program (15-5-123),[budget] Terrorism Insurance Program (15-5-123),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 123, 'account_name': 'Terrorism Insurance Program', '2019': 3000, '2020': 3000, '2021': 3000, '2022': 4000, '2023': 28000, '2024': 72000, 'name': 'Terrorism Insurance Program', 'id': '15-5-123'}"
/US FEDERAL GOVERNMENT/[budget] Department of the Treasury (15)/[budget] Departmental Offices (15-5)/[budget] Community Development Financial Institutions Fund Program (15-5-1881),[budget] Community Development Financial Institutions Fund Program (15-5-1881),"{'budget_level': 'account', 'agency_code': 15, 'agency_name': 'Department of the Treasury', 'bureau_code': 5, 'bureau_name': 'Departmental Offices', 'account_code': 1881, 'account_name': 'Community Development Financial Institutions Fund Program', '2019': 254000, '2020': 256000, '2021': 273000, '2022': 272000, '2023': 249000, '2024': 121000, 'name': 'Community Development Financial Institutions Fund Program', 'id': '15-5-1881'}"
