cisagov_city,cisagov_domain_name,cisagov_domain_type,cisagov_match_threshold,cisagov_name,cisagov_parent,cisagov_security_contact_email,cisagov_state,opmgov_employment,opmgov_match_threshold,opmgov_name,opmgov_parent,opmgov_type,usagov_acronym,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_link,usagov_email_title,usagov_forms_link,usagov_forms_title,usagov_government_branch,usagov_local_offices_0_link,usagov_local_offices_0_title,usagov_local_offices_10_link,usagov_local_offices_10_title,usagov_local_offices_11_link,usagov_local_offices_11_title,usagov_local_offices_12_link,usagov_local_offices_12_title,usagov_local_offices_13_link,usagov_local_offices_13_title,usagov_local_offices_14_link,usagov_local_offices_14_title,usagov_local_offices_15_link,usagov_local_offices_15_title,usagov_local_offices_16_link,usagov_local_offices_16_title,usagov_local_offices_17_link,usagov_local_offices_17_title,usagov_local_offices_1_link,usagov_local_offices_1_title,usagov_local_offices_2_link,usagov_local_offices_2_title,usagov_local_offices_3_link,usagov_local_offices_3_title,usagov_local_offices_4_link,usagov_local_offices_4_title,usagov_local_offices_5_link,usagov_local_offices_5_title,usagov_local_offices_6_link,usagov_local_offices_6_title,usagov_local_offices_7_link,usagov_local_offices_7_title,usagov_local_offices_8_link,usagov_local_offices_8_title,usagov_local_offices_9_link,usagov_local_offices_9_title,usagov_main_address,usagov_name,usagov_parent,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_sms_0,usagov_sms_1,usagov_toll_free_0,usagov_toll_free_1,usagov_toll_free_2,usagov_toll_free_3,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usagov_website_4_link,usagov_website_4_title
Washington,OSHRC.GOV,Federal - Executive,96,Occupational Safety & Health Review Commission,Occupational Safety & Health Review Commission,support@oshrc.gov,DC,57,100,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,Small Independent Agencies (less than 100 employees),,https://www.oshrc.gov/about/important-contact-information/,Contact the Occupational Safety and Health Review Commission,,,,,,,,,,,,,,,,,"The Occupational Safety and Health Review Commission hears trials and appeals, deciding contests of citations or penalties that result from inspections performed by the Occupational Safety and Health Administration.",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1120 20th St., NW",Occupational Safety and Health Review Commission,,,,,,,,,,,,,,http://www.oshrc.gov/index.html,Occupational Safety and Health Review Commission,,,,,,,,
,,,,,,,,2165,94,OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,DEPARTMENT OF LABOR,Cabinet Level Agencies,OSHA,https://www.osha.gov/contactus,Contact the Occupational Safety and Health Administration,https://www.osha.gov/workers/file-complaint,Report a Hazard in Your Workplace,,,,,,,,,,,,,,,"The Occupational Safety and Health Administration (OSHA) assures safe and healthful working conditions by setting and enforcing standards, and by providing training, outreach, education and assistance.",,,https://www.osha.gov/pls/publications/publication.html,Occupational Safety and Health Administration Forms,Executive Department Sub-Office/Agency/Bureau,https://www.osha.gov/contactus/bystate,Find an OSHA Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Occupational Safety and Health Administration (OSHA),U.S. Department of Labor,,,,,,1-800-321-OSHA,,,,1-877-889-5627,,,https://www.osha.gov/,Occupational Safety and Health Administration (OSHA),,,,,,,,
,,,,,,,,,,,,,,https://www.ornl.gov/content/contact-us,Contact the Oak Ridge National Laboratory,,,,,,,,,,,,,,,,,"The Oak Ridge National Laboratory conducts world-leading research in advanced materials exploration, alternative fuels, clean energy, and supercomputing.",,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P.O. Box 2001,Oak Ridge National Laboratory,National Laboratories,1-865-576-0885,,,,,1-800-382-6938,,,,,,,https://www.ornl.gov/,Oak Ridge National Laboratory,,,,,,,,
,,,,,,,,,,,,,,https://www.justice.gov/pardon/contact-office,Contact the Office of the Pardon Attorney,,,,,,,,,,,,,,,,,The Office of the Pardon Attorney assists the president in the exercise of executive clemency by reviewing clemency applications and making recommendations.,mailto:USPardon.Attorney@usdoj.gov,,https://www.justice.gov/forms,Office of the Pardon Attorney Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"145 N St., NE",Office of the Pardon Attorney,U.S. Department of Justice,1-202-616-6070,,,,,,,,,,,,http://www.usdoj.gov/pardon/index.html,Office of the Pardon Attorney,,,,,,,,
,,,,,,,,,,,,,,https://www.transportation.gov/content/ost-r,Contact the Office of the Assistant Secretary for Research and Technology,,,,,,,,,,,,,,,,,The Office of the Assistant Secretary for Research and Technology coordinates the Department of Transportation's research initiatives and deploys new technologies.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Assistant Secretary for Research and Technology,U.S. Department of Transportation,1-202-366-3282,,,,,1-800-853-1351,,,,,,,https://www.transportation.gov/taxonomy/term/12686,Office of the Assistant Secretary for Research and Technology,,,,,,,,
,,,,,,,,529,98,"OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",DEPARTMENT OF THE INTERIOR,Cabinet Level Agencies,,https://www.osmre.gov/contact-us/state-tribal-contacts,"Contact the Office of Surface Mining, Reclamation and Enforcement",,,,,,,,,,,,,,,,,"The Office of Surface Mining, Reclamation and Enforcement protects populations and the environment during surface coal mining operations. The Office also works to clean and put to good use abandoned mine sites. These missions are accomplished primarily through regulation and oversight of state programs.",mailto:getinfo@osmre.gov,,https://www.osmre.gov/resources/forms,"Surface Mining, Reclamation and Enforcement Forms",Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1951 Constitution Ave., NW","Office of Surface Mining, Reclamation and Enforcement",U.S. Department of the Interior,1-202-208-2565,,,,,,,,,1-202-208-2694,,,http://www.osmre.gov/,"Surface Mining, Reclamation and Enforcement",,,,,,,,
,,,,,,,,279,94,OFFICE OF SPECIAL EDUCATION AND REHABILITATIVE SERVICES,DEPARTMENT OF EDUCATION,Cabinet Level Agencies,OSERS,https://www2.ed.gov/about/offices/list/osers/contacts.html,Contact the Office of Special Education and Rehabilitative Services,,,,,,,,,,,,,,,,,"The Office of Special Education and Rehabilitative Services provides a wide array of supports to parents, students, school districts, and states in three main areas: special education, vocational rehabilitation, and research.",,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 Maryland Ave., SW",Office of Special Education and Rehabilitative Services (OSERS),U.S. Department of Education,1-202-245-7468,,,,,1-800-872-5327,,,,1-202-205-4208,,,http://www.ed.gov/about/offices/list/osers/index.html,Office of Special Education and Rehabilitative Services (OSERS),,,,,,,,
,,,,,,,,105,100,OFFICE OF SPECIAL COUNSEL,OFFICE OF SPECIAL COUNSEL,Medium Independent Agencies (100-999 employees),,https://osc.gov/Pages/contact.aspx,Contact the Office of Special Counsel,,,,,,,,,,,,,,,,,"The Office of Special Counsel is an investigative and prosecutorial office that works to end government and political corruption, and to protect government employees and whistleblowers.",,,https://osc.gov/Forms,Office of Special Counsel Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1730 M St., NW",Office of Special Counsel,,1-202-804-7000,,,,,,,,,1-800-877-8339,,,https://osc.gov/,Office of Special Counsel,,,,,,,,
,,,,,,,,,,,,,,https://www.consumerfinance.gov/about-us/contact-us/,Contact the Office of Servicemember Affairs,https://www.consumerfinance.gov/complaint/,Submit a Complaint,,,,,,,,,,,,,,,"The Office of Servicemember Affairs addresses consumer financial challenges affecting military members, veterans, and their families.",mailto:military@cfpb.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PO Box 2900,Office of Servicemember Affairs,Consumer Financial Protection Bureau,,,,,,1-855-411-2372,,,,1-855-729-2372,,,https://www.consumerfinance.gov/consumer-tools/educator-tools/servicemembers/,Office of Servicemember Affairs,,,,,,,,
,,,,,,,,,,,,,,https://www.osti.gov/home/about.html,Contact the Office of Scientific and Technical Information,,,,,,,,,,,,,,,,,"The Office of Scientific and Technical Information collects, preserves, and makes available the results of research and development carried out or sponsored by the Department of Energy.",mailto:OSTIWebmaster@osti.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of Scientific and Technical Information,Science Office,1-865-576-1188,1-856-576-8401,,,,,,,,,,,http://www.osti.gov/,Office of Scientific and Technical Information,,,,,,,,
,,,,,,,,,,,,,,https://www.whitehouse.gov/contact/,Contact the Office of Science and Technology Policy,,,,,,,,,,,,,,,,,The Office of Science and Technology Policy advises the president on the effects of science and technology on domestic and international affairs.,mailto:engagement@ostp.eop.gov,,,,Executive Office of the President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of Science and Technology Policy,Office of Science and Technology Policy,White House,1-202-456-4444,,,,,,,,,,,,https://www.whitehouse.gov/ostp/,Office of Science and Technology Policy,,,,,,,,
,,,,,,,,,,,,,,https://www.acf.hhs.gov/orr/about,Contact the Office of Refugee Resettlement,,,,,,,,,,,,,,,,,"The Office of Refugee Resettlement provides resources for refugees, asylum seekers, and other new arrivals to the U.S. to assist with their integration into their new community.",,,https://www.acf.hhs.gov/orr/form/report-forms,Office of Refugee Resettlement Forms,Executive Department Sub-Office/Agency/Bureau,https://www.acf.hhs.gov/orr/map/find-resources-and-contacts-your-state,"Local Partners, Programs, and Offices",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mary E. Switzer Building,Office of Refugee Resettlement,Administration for Children and Families,1-202-401-9246,,,,,,,,,,,,https://www.acf.hhs.gov/orr,Office of Refugee Resettlement,,,,,,,,
,,,,,,,,236,97,OFFICE OF POSTSECONDARY EDUCATION,DEPARTMENT OF EDUCATION,Cabinet Level Agencies,,https://www2.ed.gov/about/offices/list/ope/contacts.html,Contact the Office of Postsecondary Education,,,,,,,,,,,,,,,,,The Office of Postsecondary Education develops programs to increase access to postsecondary education. This office works with state accreditation agencies to recognize institutions of higher learning that provide quality education.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1990 K St., NW",Office of Postsecondary Education,U.S. Department of Education,1-,,,,,,,,,,,,http://www2.ed.gov/about/offices/list/ope/index.html,Office of Postsecondary Education,,,,,,,,
,,,,,,,,,,,,,,https://www.huduser.gov/portal/about/pdrconta.html,Contact the Office of Policy Development and Research,,,,,,,,,,,,,,,,,The Office of Policy Development and Research provides the Department of Housing and Urban Development up-to-date information and analysis of housing and community development issues.,mailto:helpdesk@huduser.org,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HUD USER,Office of Policy Development and Research,U.S. Department of Housing and Urban Development,1-202-708-3178,,,,,1-800-245-2691,,,,1-800-927-7589,,,https://www.huduser.gov/portal/home.html,Office of Policy Development and Research,,,,,,,,
,,,,,,,,5907,94,OFFICE OF PERSONNEL MANAGEMENT,OFFICE OF PERSONNEL MANAGEMENT,Large Independent Agencies (1000 or more employees),OPM,https://www.opm.gov/about-us/contact-us/,Contact the Office of Personnel Management,,,,,,,,,,,,,,,,,"The Office of Personnel Management manages the civil service of the federal government, coordinates recruiting of new government employees, and manages their health insurance and retirement benefits programs. They  also provide resources for locating student jobs, summer jobs, scholarships, and internships.",,,https://www.opm.gov/forms/,Office of Personnel Management Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1900 E St., NW",Office of Personnel Management (OPM),,1-202-606-1800,,,,,,,,,1-800-877-8339,,,https://www.opm.gov/,Office of Personnel Management,,,,,,,,
,,,,,,,,,,,,,ONDCP,https://www.whitehouse.gov/contact,Contact the Office of National Drug Control Policy,,,,,,,,,,,,,,,,,The Office of National Drug Control Policy advises the president on drug-control issues.,,,,,Executive Office of the President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The White House,Office of National Drug Control Policy (ONDCP),White House,,,,,,,,,,,,,http://www.whitehouse.gov/ondcp,Office of National Drug Control Policy,,,,,,,,
,,,,,,,,,,,,,OMB,https://www.whitehouse.gov/omb/,Contact the Office of Management and Budget,,,,,,,,,,,,,,,,,"The Office of Management and Budget oversees the performance of federal agencies, and administers the federal budget.",,,,,Executive Office of the President,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"725 17th St., NW",Office of Management and Budget (OMB),White House,1-202-395-3080,,,,,,,,,,,,https://www.whitehouse.gov/omb/,Office of Management and Budget (OMB),,,,,,,,
Arlington,OLDCC.GOV,Federal - Executive,97,Office of Local Defense Community Cooperation,Department of Defense,oea.ncr.OEA.mbx.oea-it-security@mail.mil,VA,,,,,,,https://oldcc.gov/contact-us,Contact the Office of Local Defense Community Cooperation,,,,,,,,,,,,,,,,,The Office of Local Defense Community Cooperation helps states and communities adjust to major changes related local Department of Defense activities and installations.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231 Crystal Dr.,Office of Local Defense Community Cooperation,U.S. Department of Defense,1-703-697-2130,,,,,,,,,,,,https://oldcc.gov/,Office of Local Defense Community Cooperation,,,,,,,,
,,,,,,,,61,98,OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,Cabinet Level Agencies,,https://www.hud.gov/sites/dfiles/HH/documents/2020OLHCHHRoster_06-24.pdf,Office of Lead Hazard Control and Healthy Homes,https://www.epa.gov/lead/forms/lead-hotline-national-lead-information-center,Contact the National Lead Information Center,,,,,,,,,,,,,,,The Office of Lead Hazard Control and Healthy Homes works to make private homes safe from lead and other harmful materials.,,,https://www.hud.gov/program_offices/administration/hudclips/forms,Office of Lead Hazard Control and Healthy Homes Forms,Executive Department Sub-Office/Agency/Bureau,https://www.hud.gov/program_offices/field_policy_mgt/localoffices,Find an Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW",Office of Lead Hazard Control and Healthy Homes,U.S. Department of Housing and Urban Development,,,,,,1-202-708-1112,1-800-424-5323,,,1-202-708-1455,,,https://www.hud.gov/program_offices/healthy_homes,Office of Lead Hazard Control and Healthy Homes,,,,,,,,
,,,,,,,,,,,,,OVW,https://www.justice.gov/ovw/contact-ovw,Contact the Office on Violence Against Women,,,,,,,,,,,,,,,,,"The Office on Violence Against Women reduces violence against women. They help victims of domestic violence, dating violence, sexual assault, and stalking.",mailto:ovw.info@usdoj.gov,,,,Executive Department Sub-Office/Agency/Bureau,https://www.justice.gov/ovw/local-resources,Find help near you,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. Department of Justice,Office on Violence Against Women (OVW),U.S. Department of Justice,1-202-307-6026,,,,,1-800-799-7233,1-800-656-4673,1-866-331-9474 (Teen Dating Abuse Helpline),1-855-484-2846,1-202-307-2277,1-800-787-3224,1-866-331-8453,https://www.justice.gov/ovw,Office on Violence Against Women,,,,,,,,
San Francisco,PRESIDIOTUNNELTOPS.GOV,Federal - Executive,100,Presidio Trust,Presidio Trust,securitycontact@presidiotrust.gov,CA,340,100,PRESIDIO TRUST,PRESIDIO TRUST,Medium Independent Agencies (100-999 employees),,,,,,,,,,,,,,,,,,,,The Presidio Trust preserves the Presidio National Park as an enduring resource for the American people.,mailto:presidio@presidiotrust.gov,,,,"Independent Board, Commission, Committee",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103 Montgomery St.,Presidio Trust,,1-415-561-5418,,,,,,,,,1-415-561-5301,,,http://www.presidio.gov,Presidio Trust,,,,,,,,
,,,,,,,,,,,,,,https://health.gov/about-odphp/contact-us,"Contact the President's Council on Fitness, Sports and Nutrition",,,,,,,,,,,,,,,,,The President's Council on Fitness educates and encourages Americans to adopt a healthy lifestyle.,mailto:fitness@hhs.gov,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101 Wootton Pkwy.,"President's Council on Fitness, Sports and Nutrition",U.S. Department of Health and Human Services,1-240-276-9567,,,,,,,,,,,,https://health.gov/our-work/nutrition-physical-activity/presidents-council,"President's Council on Fitness, Sports and Nutrition",,,,,,,,
Tulsa,SWPA.GOV,Federal - Executive,88,Southwestern Power Administration,Department of Energy,CyberSecurityTeam@swpa.gov,OK,,,,,,,,,,,,,,,,,,,,,,,,,There are four power administrations that market the hydroelectric power produced by the Army Corps of Engineers' dams.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Power Administrations,U.S. Department of Energy,,,,,,,,,,,,,https://www.energy.gov/offices,Power Administrations,,,,,,,,
,,,,,,,,,,,,,USPS,http://www.usps.com/customerservice/welcome.htm?from=global_footer&page=customerservice,Contact the U.S. Postal Service,,,,,,,,,,,,,,,,,The Postal Service provides mail processing and delivery services to individuals and businesses in the U.S.,,,https://about.usps.com/forms/welcome.htm,Postal Service Forms,Independent Agency,https://tools.usps.com/find-location.htm,Locate a Post Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USPS Office of the Consumer Advocate,Postal Service (USPS),,,,,,,1-800-275-8777,1-800-222-1811,,,1-877-889-2457,,,https://www.usps.com/,U.S. Postal Service (USPS),,,,,,,,
Washington,PRC.GOV,Federal - Executive,100,Postal Regulatory Commission,Postal Regulatory Commission,itsecure@prc.gov,DC,,,,,,,http://www.prc.gov/contact/,Contact the Postal Regulatory Commission,,,,,,,,,,,,,,,,,"The Postal Regulatory Commission is responsible for oversight of the U.S. Postal Service, including oversight of rates and services, and ensuring the Postal Service meets all of its legal requirements.",,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"901 New York Ave., NW",Postal Regulatory Commission,,1-202-789-6800,,,,,,,,,,,,http://www.prc.gov,Postal Regulatory Commission,,,,,,,,
,,,,,,,,,,,,,,https://usps.force.com/emailus/s/,Contact the Postal Inspection Service,,,,,,,,,,,,,,,,,The U.S. Postal Inspection Service supports and protects the U.S. Postal Service and its customers by enforcing the laws that defend the nation’s mail system from illegal or dangerous use.,,,,,Executive Department Sub-Office/Agency/Bureau,https://postalpro.usps.com/ppro-tools/inspection-service,Find Your Local Postal Inspection Service Office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Criminal Investigations Service Center,Postal Inspection Service,U.S. Postal Service,,,,,,1-877-876-2455,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,https://register.state.gov/contactus/contactusform,Contact Political Affairs,,,,,,,,,,,,,,,,,"The Department of State Undersecretary for Political Affairs manages overall regional and bilateral policy issues, and oversees the bureaus for Africa, East Asia and the Pacific, Europe and Eurasia, the Near East, South and Central Asia, the Western Hemisphere, and International Organizations.",,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Political Affairs,U.S. Department of State,,,,,,,,,,,,,http://www.state.gov/p/,Political Affairs,,,,,,,,
,,,,,,,,373,98,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,DEPARTMENT OF TRANSPORTATION,Cabinet Level Agencies,,https://www.phmsa.dot.gov/about-phmsa/phmsas-mission,Contact the Pipeline and Hazardous Materials Safety Administration,,,,,,,,,,,,,,,,,The Pipeline and Hazardous Materials Safety Administration regulates the transport of hazardous materials.,,,https://www.phmsa.dot.gov/resources/e-forms,Pipeline and Hazardous Materials Safety Administration Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE",Pipeline and Hazardous Materials Safety Administration,U.S. Department of Transportation,1-202-366-4433,,,,,1-800-424-8802,,,,,,,http://www.phmsa.dot.gov/,Pipeline and Hazardous Materials Safety Administration,,,,,,,,
,,,,,,,,1163,96,PENTAGON FORCE PROTECTION AGENCY,DEPARTMENT OF DEFENSE,Cabinet Level Agencies,,,,,,,,,,,,,,,,,,,,"The Pentagon Force Protection Agency is a civilian agency that protects the occupants, visitors, and infrastructure of Pentagon facilities.",mailto:pfpa.pentagon.cco.mbx.general@mail.mil,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pentagon Force Protection Agency,U.S. Department of Defense,1-703-697-1001,1-703-697-5555,,,,,,,,1-703-693-7008,,,https://www.pfpa.mil/,Pentagon Force Protection Agency,,,,,,,,
,,,,,,,,922,94,PENSION BENEFIT GUARANTY CORPORATION,PENSION BENEFIT GUARANTY CORPORATION,Medium Independent Agencies (100-999 employees),PBGC,https://www.pbgc.gov/about/pg/contact/contact,Contact the Pension Benefit Guaranty Corporation,,,,,,,,,,,,,,,,,The Pension Benefit Guaranty Corporation insures and guarantees private sector workers' pensions.,mailto:mypension@pbgc.gov,,https://www.pbgc.gov/wr/transactions/forms-for-workers-and-retirees.html,Worker and Retiree Forms,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pension Benefit Guaranty Corporation (PBGC),,1-202-326-4000,1-202-326-4242,,,,1-800-400-7242,1-800-736-2444,,,1-800-877-8339,,,https://www.pbgc.gov/,Pension Benefit Guaranty Corporation (PBGC),,,,,,,,
,,,,,,,,855,100,PEACE CORPS,PEACE CORPS,Medium Independent Agencies (100-999 employees),,https://www.peacecorps.gov/contact/,Contact the Peace Corps,,,,,,,,,,,,,,,,,"Peace Corps volunteers travel to developing countries all over the world to assist with many ongoing efforts including AIDS education, business training, and information infrastructure development.",,,,,Independent Agency,https://www.peacecorps.gov/volunteer/connect-with-a-recruiter/,Find a Recruitment Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1111 20th St., NW",Peace Corps,,,,,,,1-855-855-1961,,,,,,,https://www.peacecorps.gov/,Peace Corps,,,,,,,,
,,,,,,,,9608,96,PATENT AND TRADEMARK OFFICE,DEPARTMENT OF COMMERCE,Cabinet Level Agencies,,http://www.uspto.gov/about/contacts/index.jsp,Contact the U.S. Patent and Trademark Office,http://portal.uspto.gov/external/portal/emlocator,Staff Directory,,,,,,,,,,,,,,,The U.S. Patent and Trademark Office is the agency responsible for granting U.S. patents and registering trademarks.,mailto:usptoinfo@uspto.gov,,https://www.uspto.gov/patent/patents-forms,Patent Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Patent and Trademark Office,U.S. Department of Commerce,1-571-272-1000,,,,,1-800-786-9199,,,,1-571-272-9950,,,http://www.uspto.gov/,U.S. Patent and Trademark Office,http://www.uspto.gov/trademarks,Trademarks Department,http://www.uspto.gov/patents,Patents Department,,,,
,,,,,,,,,,,,,,https://www.justice.gov/uspc/contact-commission,Contact the Parole Commission,,,,,,,,,,,,,,,,,"The Parole Commission considers prisoners' applications for parole, deciding whether or not a prisoner has earned a chance to reintegrate into the community.",mailto:public.inquiries@usdoj.gov,,https://www.justice.gov/forms,Parole Commission Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"90 K St., NE",Parole Commission,U.S. Department of Justice,1-202-346-7000,,,,,,,,,,,,https://www.justice.gov/uspc,Parole Commission,,,,,,,,
,,,,,,,,,,,,,,https://register.state.gov/contactus/contactusform,Contact Public Diplomacy and Public Affairs,,,,,,,,,,,,,,,,,Public Diplomacy and Public Affairs enhances national security by expanding and strengthening the relationship between the people and Government of the United States and citizens of the rest of the world.,,,,,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Public Diplomacy and Public Affairs,U.S. Department of State,,,,,,,,,,,,,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/,Public Diplomacy and Public Affairs,,,,,,,,
,,,,,,,,,,,,,,https://www.hud.gov/program_offices/public_indian_housing/about/css,Contact Public and Indian Housing,,,,,,,,,,,,,,,,,"The Office of Public and Indian Housing works to ensure safe, decent and affordable housing.",,,https://www.hud.gov/program_offices/administration/hudclips/forms,Public and Indian Housing Forms,Executive Department Sub-Office/Agency/Bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW",Public and Indian Housing,U.S. Department of Housing and Urban Development,,,,,,1-800-955-2232,,,,,,,https://www.hud.gov/program_offices/public_indian_housing,Public and Indian Housing,,,,,,,,
,,,,,,,,,,,,,PCLOB,https://www.pclob.gov/About/Contact,Contact the Privacy and Civil Liberties Oversight Board,,,,,,,,,,,,,,,,,The Privacy and Civil Liberties Oversight Board ensures that the federal government’s efforts to prevent terrorism are balanced with the need to protect privacy and civil liberties.​,mailto:info@pclob.gov,,,,Independent Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800 North Capitol Street, NW",Privacy and Civil Liberties Oversight Board (PCLOB),,1-202-296-4649,,,,,,,,,,,,https://www.pclob.gov/,Privacy and Civil Liberties Oversight Board,,,,,,,,
,,,,,,,,,,,,,,https://www.psa.gov/?q=contact,Contact the Pretrial Services Agency for the District of Columbia,,,,,,,,,,,,,,,,,The Pretrial Services Agency for the District of Columbia's promotes pretrial justice and enhances community safety.,mailto:contact@psa.gov,,,,Executive Department Sub-Office/Agency/Bureau,https://www.psa.gov/?q=contact/location_directory,Location Directory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"633 Indiana Ave., NW",Pretrial Services Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,1-202-220-5500,,,,,,,,,,,,https://www.psa.gov/,Pretrial Services Agency for the District of Columbia,,,,,,,,
,,,,,,,,,,,,,,https://www.rd.usda.gov/contact-us/national-office/rus,Contact the Rural Utilities Service,,,,,,,,,,,,,,,,,"The Rural Utilities Service provides funding for the development of rural utilities infrastructure such as water, waste management, power and telecommunications.",,,https://www.rd.usda.gov/resources/forms,Rural Utilities Service Forms,Executive Department Sub-Office/Agency/Bureau,https://www.rd.usda.gov/contact-us/state-offices,Find an Office in Your State,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"USDA Rural Development, Room 4051-S",Rural Utilities Service,Rural Development,1-202-720-9540,,,,,,,,,1-800-877-8339,,,https://www.rd.usda.gov/about-rd/agencies/rural-utilities-service,Rural Utilities Service,,,,,,,,
