path,name,budget_account_code,budget_account_name,budget_agency_code,budget_agency_name,budget_budget_level,budget_bureau_code,budget_bureau_name,budget_id,budget_name,budget_normalized_name,cisagov_name,cisagov_normalized_name,federalregister_agency_url,federalregister_child_ids,federalregister_child_slugs,federalregister_description,federalregister_id,federalregister_json_url,federalregister_logo_medium_url,federalregister_logo_small_url,federalregister_logo_thumb_url,federalregister_name,federalregister_normalized_name,federalregister_recent_articles_url,federalregister_short_name,federalregister_slug,federalregister_url,opmgov_employment,opmgov_id,opmgov_name,opmgov_normalized_name,opmgov_type,samgov_agencycode,samgov_cgaclist_0_cgac,samgov_cgaclist_1_cgac,samgov_cgaclist_2_cgac,samgov_cgaclist_3_cgac,samgov_cgaclist_4_cgac,samgov_createdby,samgov_createddate,samgov_fhagencyorgname,samgov_fhdeptindagencyorgid,samgov_fhorgid,samgov_fhorgname,samgov_fhorgnamehistory_0_effectivedate,samgov_fhorgnamehistory_0_fhorgname,samgov_fhorgparenthistory_0_actiontype,samgov_fhorgparenthistory_0_codehierarchy,samgov_fhorgparenthistory_0_effectivedate,samgov_fhorgparenthistory_0_fhfullparentpathid,samgov_fhorgparenthistory_0_fhfullparentpathname,samgov_fhorgtype,samgov_lastupdateddate,samgov_links_0_href,samgov_links_0_rel,samgov_links_1_href,samgov_links_1_rel,samgov_name,samgov_normalized_name,samgov_oldfpdsofficecode,samgov_status,samgov_updatedby,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_normalized_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title,usaspending_abbreviation,usaspending_active_fq,usaspending_active_fy,usaspending_agency_id,usaspending_agency_name,usaspending_agency_slug,usaspending_budget_authority_amount,usaspending_code,usaspending_congressional_justification_url,usaspending_current_total_budget_authority_amount,usaspending_id,usaspending_name,usaspending_new_award_count,usaspending_normalized_name,usaspending_obligated_amount,usaspending_outlay_amount,usaspending_percentage_of_total_budget_authority,usaspending_toptier_code,usaspending_total_obligations,usaspending_transaction_count,usgovmanual_addresses_0_email,usgovmanual_addresses_0_fax,usgovmanual_addresses_0_phone,usgovmanual_addresses_0_phone2,usgovmanual_addresses_0_url,usgovmanual_addresses_1_email,usgovmanual_addresses_1_fax,usgovmanual_addresses_1_phone,usgovmanual_addresses_1_url,usgovmanual_addresses_2_email,usgovmanual_addresses_2_phone,usgovmanual_addresses_2_url,usgovmanual_addresses_3_url,usgovmanual_addresses_4_url,usgovmanual_addresses_5_url,usgovmanual_category,usgovmanual_id,usgovmanual_introduction,usgovmanual_mission_statement_records_0_text,usgovmanual_mission_statement_records_1_note,usgovmanual_mission_statement_records_1_text,usgovmanual_name,usgovmanual_normalized_name,usgovmanual_organization_chart
/US FEDERAL GOVERNMENT/[federalregister] Commission on Protecting and Reducing Government Secrecy (65),[federalregister] Commission on Protecting and Reducing Government Secrecy (65),,,,,,,,,,,,,,[],[],"The Commission on Protecting and Reducing Government Secrecy was established under Title IX of the Act of April 30, 1994 (Pub.L. 103-236. 

The purpose of the Commission was to review and provide comprehensive recommendations for reform designed to reduce the volume of classified information to strengthen the protection of legitimate classified information. 

The Commission was terminated in 1997 following the submission of its final report to Congress.",65,https://www.federalregister.gov/api/v1/agencies/65,,,,Commission on Protecting and Reducing Government Secrecy,Commission on Protecting and Reducing Government Secrecy,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=65&order=newest,,commission-on-protecting-and-reducing-government-secrecy,https://www.federalregister.gov/agencies/commission-on-protecting-and-reducing-government-secrecy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on Review of Overseas Military Facility Structure of the United States (67),[federalregister] Commission on Review of Overseas Military Facility Structure of the United States (67),,,,,,,,,,,,,,[],[],"The Commission on Review of Overseas Military Facility Structure of the United States was established as an ad hoc independent presidential advisory Commission by the Act of November 22, 2003 (Pub. L. 108-32).

Also known as the Overseas Basing Commission (OSBC), the Commission was created to conduct a comprehensive study of matters relating to the military facility structure overseas.

The Commission was terminated in 2005.
",67,https://www.federalregister.gov/api/v1/agencies/67,,,,Commission on Review of Overseas Military Facility Structure of the United States,Commission on Review of Overseas Military Facility Structure of the United States,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=67&order=newest,,commission-on-review-of-overseas-military-facility-structure-of-the-united-states,https://www.federalregister.gov/agencies/commission-on-review-of-overseas-military-facility-structure-of-the-united-states,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on Structural Alternatives for the Federal Courts of Appeals (68),[federalregister] Commission on Structural Alternatives for the Federal Courts of Appeals (68),,,,,,,,,,,,,,[],[],"The Commission on Structural Alternatives for the Federal Courts of Appeals was established by the Act of Nov. 26, 1997 (Pub. L. 105-119).

The Commission was formed to study the structure and alignment of the federal appellate system, with particular focus on the Ninth Circuit. 

The Commission was terminated March 19, 1999 upon the submission of its final report.
",68,https://www.federalregister.gov/api/v1/agencies/68,,,,Commission on Structural Alternatives for the Federal Courts of Appeals,Commission on Structural Alternatives for the Federal Courts of Appeals,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=68&order=newest,,commission-on-structural-alternatives-for-the-federal-courts-of-appeals,https://www.federalregister.gov/agencies/commission-on-structural-alternatives-for-the-federal-courts-of-appeals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on the Advancement of Federal Law Enforcement (69),[federalregister] Commission on the Advancement of Federal Law Enforcement (69),,,,,,,,,,,,,,[],[],"The Commission on the Advancement of Federal Law Enforcement was established by the Anti-Terrorism and Effective Death Penalty Act of 1996 (Pub. L. 104-132).
The Commission was created to review and ascertain, evaluate, report and recommend actions to the Congress on a broad spectrum of issues affecting federal law enforcement priorities for the Twenty-First Century.

The Commission was terminated following the submission of its final report in February, 2000.
",69,https://www.federalregister.gov/api/v1/agencies/69,,,,Commission on the Advancement of Federal Law Enforcement,Commission on the Advancement of Federal Law Enforcement,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=69&order=newest,,commission-on-the-advancement-of-federal-law-enforcement,https://www.federalregister.gov/agencies/commission-on-the-advancement-of-federal-law-enforcement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on the Bicentennial of the United States Constitution (70),[federalregister] Commission on the Bicentennial of the United States Constitution (70),,,,,,,,,,,,,,[],[],"The Commission on the Bicentennial of the United States Constitution was established as an independent advisory commission by an Act of September 29, 1983 (Pub. L. 98-101).

The Commission was created to plan and develop appropriate activities to commemorate the bicentennial of the signing of the Constitution, September 17, 1787, the formation of the three branches of government, and the Bill of Rights. 
The Commission was terminated on December 31, 1991.
",70,https://www.federalregister.gov/api/v1/agencies/70,,,,Commission on the Bicentennial of the United States Constitution,Commission on the Bicentennial of the United States Constitution,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=70&order=newest,,commission-on-the-bicentennial-of-the-united-states-constitution,https://www.federalregister.gov/agencies/commission-on-the-bicentennial-of-the-united-states-constitution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on the Future of the United States Aerospace Industry (71),[federalregister] Commission on the Future of the United States Aerospace Industry (71),,,,,,,,,,,,,,[],[],"The Commission on the Future of the United States Aerospace Industry was established as an independent public advisory commission by the Floyd D. Spence National Defense Authorization Act for Fiscal Year 2001 (Pub. L. 106-398).

The Commission was created to conduct a study of issues pertaining to the future of the U.S. aerospace industry in the global economy, particularly as it pertained to national security; and to assess the future importance of the domestic aerospace industry for the economic and national security of the national security of the United States.  
",71,https://www.federalregister.gov/api/v1/agencies/71,,,,Commission on the Future of the United States Aerospace Industry,Commission on the Future of the United States Aerospace Industry,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=71&order=newest,,commission-on-the-future-of-the-united-states-aerospace-industry,https://www.federalregister.gov/agencies/commission-on-the-future-of-the-united-states-aerospace-industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commission on the Social Security Notch Issue (72),[federalregister] Commission on the Social Security Notch Issue (72),,,,,,,,,,,,,,[],[],"The Commission on the Social Security Notch Issue was established by an Act of October 6, 1992 (Pub. L. 102-393). 

The Commission was charging with examining the question of whether those born in the ""Notch"" years had been treated unfairly and recommending, if necessary, remedial legislation and the means to pay for it. This so-called ""Notch issue"" has its origins in 1972, when Congress decided to create automatic cost-of-living adjustments to help Social Security benefits keep pace with inflation.
",72,https://www.federalregister.gov/api/v1/agencies/72,,,,Commission on the Social Security Notch Issue,Commission on the Social Security Notch Issue,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=72&order=newest,,commission-on-the-social-security-notch-issue,https://www.federalregister.gov/agencies/commission-on-the-social-security-notch-issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Committee for Purchase From People Who Are Blind or Severely Disabled (74),[federalregister] Committee for Purchase From People Who Are Blind or Severely Disabled (74),,,,,,,,,,,,,http://www.abilityone.gov/,[],[],"The Committee for Purchase From People Who Are Blind or Severely Disabled (CITA)  was established as an independent Federal agency by the Javits-Wagner-O'Day  (JWOD) amendments of 1971. The function of the Committee was to provide 
employment opportunities for people who were blind or severely disabled. In 2006 JWOD was re-named AbilityOne.

The AbilityOne Program uses the purchasing power of the federal government to buy products and services from participating, community-based nonprofit agencies nationwide dedicated to training and employing individuals with disabilities.

Currently, AbilityOne employs more than 40,000 Americans who are blind or have other severe disabilities, making it the single largest source of jobs for such individuals in the United States. ",74,https://www.federalregister.gov/api/v1/agencies/74,https://agency-logos.federalregister.gov/74/medium.gif?1321395456,https://agency-logos.federalregister.gov/74/small.gif?1321395456,https://agency-logos.federalregister.gov/74/thumb.gif?1321395456,Committee for Purchase From People Who Are Blind or Severely Disabled,Committee for Purchase From People Who Are Blind or Severely Disabled,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=74&order=newest,CPPBSD,committee-for-purchase-from-people-who-are-blind-or-severely-disabled,https://www.federalregister.gov/agencies/committee-for-purchase-from-people-who-are-blind-or-severely-disabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Committee for the Implementation of Textile Agreements (75),[federalregister] Committee for the Implementation of Textile Agreements (75),,,,,,,,,,,,,http://otexa.ita.doc.gov/cita.htm,[],[],"The Committee for the Implementation of Textile Agreements (CITA), an interagency group chaired by the Department of Commerce, is responsible for matters affecting textile trade policy and for supervising the implementation of all textile trade agreements. CITA negotiates and administers provisions of Free Trade Agreements; implements the short supply, wool provisions, and other aspects of the Trade Preference Acts; and takes textile and apparel safeguard actions, when appropriate, under the World Trade Organization (WTO). CITA administers textile and apparel quotas on non-WTO countries and safeguard limits. CITA coordinates the administration's efforts to combat illegal textile and apparel transshipment. 

CITA was established by the President in Executive Order 11651 on March 3, 1972 and is comprised of the Departments of Commerce, State, Labor, and Treasury and the Office of the U.S. Trade Representative's Office. CITA is chaired by the Commerce Department's Deputy Assistant Secretary for Textiles and Apparel. The Commerce Department's Office of Textiles and Apparel (OTEXA) provides the staff support for the Committee, monitors all agreements and provides economic analysis and statistical data upon which the Committee relies in taking action. ",75,https://www.federalregister.gov/api/v1/agencies/75,,,,Committee for the Implementation of Textile Agreements,Committee for the Implementation of Textile Agreements,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=75&order=newest,CITA,committee-for-the-implementation-of-textile-agreements,https://www.federalregister.gov/agencies/committee-for-the-implementation-of-textile-agreements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Commodity Futures Trading Commission (77),[federalregister] Commodity Futures Trading Commission (77),,,,,,,,,,,,,http://www.cftc.gov/index.htm,[],[],"The Commodity Futures Trading Commission, the Federal regulatory agency for futures trading, was established by the Commodity Futures Trading Commission Act of 1974 (7 U.S.C. 4a). The Commission began operation in April 1975, and its authority to regulate futures trading was renewed by Congress in 1978, 1982, 1986, 1992, 1995, and 2000.

The mission of the Commodity Futures Trading Commission is to protect market users and the public from fraud, manipulation, and abusive practices related to the sale of commodity futures and options, and to foster open, competitive, and financially sound commodity futures and option markets.

The Commission consists of five Commissioners who are appointed by the President, with the advice and consent of the Senate. One 
Commissioner is designated by the President to serve as Chairman. The 
Commissioners serve staggered 5-year terms, and by law no more than three Commissioners can belong to the same political party.

The Commission has six major operating components: the Divisions of Market Oversight, Clearing and Intermediary Oversight, and Enforcement and the Offices of the Executive Director, General Counsel, and Chief Economist.",77,https://www.federalregister.gov/api/v1/agencies/77,https://agency-logos.federalregister.gov/77/medium.png?1321454775,https://agency-logos.federalregister.gov/77/small.png?1321454775,https://agency-logos.federalregister.gov/77/thumb.png?1321454775,Commodity Futures Trading Commission,Commodity Futures Trading Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=77&order=newest,CFTC,commodity-futures-trading-commission,https://www.federalregister.gov/agencies/commodity-futures-trading-commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Competitiveness Policy Council (79),[federalregister] Competitiveness Policy Council (79),,,,,,,,,,,,,,[],[],"The Competitiveness Policy Council was established in 1991as an independent  public advisory council by the Omnibus Trade and Competitiveness Act of 1988 (Pub. L. 100-418).

The Council was created to develop recommendations for national strategies and on specific policies intended to enhance the productivity and international competitiveness of U.S. industries. During its existence, the Council made a number of important recommendations during its years of operation regarding pensions, education, public investment, trade negotiations, and many other issues.

The Council was terminated in  July 1996 after the House of Representatives Appropriations Committee withheld further funding of its operations on the grounds that the Council was ""duplicative of private sector organizations"" that performed the same function without receiveing Federal funding. 

[Source: Wickipedia: http://en.wikipedia.org/wiki/Competitiveness_Policy_Council]",79,https://www.federalregister.gov/api/v1/agencies/79,,,,Competitiveness Policy Council,Competitiveness Policy Council,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=79&order=newest,CPC,competitiveness-policy-council,https://www.federalregister.gov/agencies/competitiveness-policy-council,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Congressional Budget Office (81),[federalregister] Congressional Budget Office (81),,,,,,,,,,,,,http://www.cbo.gov/,[],[],"The Congressional Budget Office provides the Congress with economic analyses of alternative fiscal, budgetary, and programmatic policy issues, and with information and estimates required for the congressional budget process.

The Congressional Budget Office (CBO) was established by the Congressional Budget Act of 1974 (2 U.S.C. 601), which also created a procedure by which the United States Congress considers and acts upon the annual Federal budget. This process enables the Congress to have an overview of the Federal budget and to make overall decisions regarding spending and taxing levels and the deficit or surplus these levels incur.",81,https://www.federalregister.gov/api/v1/agencies/81,https://agency-logos.federalregister.gov/81/medium.jpg?1321473557,https://agency-logos.federalregister.gov/81/small.jpg?1321473557,https://agency-logos.federalregister.gov/81/thumb.jpg?1321473557,Congressional Budget Office,Congressional Budget Office,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=81&order=newest,CBO,congressional-budget-office,https://www.federalregister.gov/agencies/congressional-budget-office,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Consumer Financial Protection Bureau (573),[federalregister] Consumer Financial Protection Bureau (573),,,,,,,,,,,,,http://www.consumerfinance.gov/,[],[],"The Bureau of Consumer Financial Protection (CFPB) is an independent bureau within the Federal Reserve System that empowers consumers with the information they need to make financial decisions in the best interests of them and their families.  The CFPB was created under the Dodd-Frank Wall Street Reform and Consumer Protection Act (Dodd-Frank Act). 

The purpose of the CFPB is to promote fairness and transparency for mortgages, credit cards, and other consumer financial products and services. The CFPB will set and enforce clear, consistent rules that allow banks and other consumer financial services providers to compete on a level playing field and that let consumers see clearly the costs and features of products and services.    
 
The functions of the CFPB to assist people in borrowing money or using other financial services include: implementing and enforcing Federal consumer financial laws; reviewing business practices to ensure that financial services providers are following the law; monitoring the marketplace and taking appropriate action to make sure markets work as transparently as they can for consumers; and establishing a toll-free consumer hotline and website for complaints and questions about consumer financial products and services. 

",573,https://www.federalregister.gov/api/v1/agencies/573,https://agency-logos.federalregister.gov/573/medium.png?1314203433,https://agency-logos.federalregister.gov/573/small.png?1314203433,https://agency-logos.federalregister.gov/573/thumb.png?1314203433,Consumer Financial Protection Bureau,Consumer Financial Protection Bureau,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=573&order=newest,CFPB,consumer-financial-protection-bureau,https://www.federalregister.gov/agencies/consumer-financial-protection-bureau,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Consumer Product Safety Commission (84),[federalregister] Consumer Product Safety Commission (84),,,,,,,,,,,,,http://www.cpsc.gov/,[],[],"The Consumer Product Safety Commission was established as an independent regulatory agency by the Consumer Product Safety Act (15 U.S.C. 2051 et seq.) in 1973 and reauthorized by the Consumer Product Safety Improvement Act of 2008. The Commission consists of up to five members, who are appointed by the President with the advice and consent of the Senate, for 7-year terms.

The Commission implements provisions of the Flammable Fabrics Act (15 U.S.C. 1191); Poison Prevention Packaging Act of 1970 (15 U.S.C. 1471); Federal Hazardous Substances Act (15 U.S.C. 1261); act of August 2, 1956 (15 U.S.C. 1211), prohibiting the transportation of refrigerators without door safety devices; Children's Gasoline Burn Prevention Act (15 U.S.C. 2056 note); and Virginia Graeme Baker Pool and Spa Safety Act (15 U.S.C. 8001 et seq.).",84,https://www.federalregister.gov/api/v1/agencies/84,https://agency-logos.federalregister.gov/84/medium.png?1678399317,https://agency-logos.federalregister.gov/84/small.png?1678399317,https://agency-logos.federalregister.gov/84/thumb.png?1678399317,Consumer Product Safety Commission,Consumer Product Safety Commission,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=84&order=newest,CPSC,consumer-product-safety-commission,https://www.federalregister.gov/agencies/consumer-product-safety-commission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Coordinating Council on Juvenile Justice and Delinquency Prevention (86),[federalregister] Coordinating Council on Juvenile Justice and Delinquency Prevention (86),,,,,,,,,,,,,http://www.juvenilecouncil.gov/,[],[],"


The Coordinating Council on Juvenile Justice and Delinquency Prevention was established as an independent organization under the authority of the Juvenile Justice and Delinquency Prevention Act of 1974 (Pub. L. 93-415) as amended.

Access information about the Council, an independent organization in the executive branch that coordinates all federal juvenile delinquency prevention programs, all federal programs and activities that detain or care for unaccompanied juveniles, and all federal programs relating to missing and exploited children.
",86,https://www.federalregister.gov/api/v1/agencies/86,,,,Coordinating Council on Juvenile Justice and Delinquency Prevention,Coordinating Council on Juvenile Justice and Delinquency Prevention,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=86&order=newest,CCJJDP,coordinating-council-on-juvenile-justice-and-delinquency-prevention,https://www.federalregister.gov/agencies/coordinating-council-on-juvenile-justice-and-delinquency-prevention,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Corporation for National and Community Service (91),[federalregister] Corporation for National and Community Service (91),,,,,,,,,,,,,http://www.nationalservice.gov/,[],[],"The Corporation for National and Community Service engages Americans of all ages and backgrounds in community-based service that addresses the Nation's educational, public safety, environmental, and other human needs to achieve direct and demonstrable results. In so doing, the Corporation fosters civic responsibility, strengthens the ties that bind us together as a people, and provides educational opportunity for those who make a substantial commitment to service.

The Corporation was established on October 1, 1993, by the National and Community Service Trust Act of 1993 (42 U.S.C. 12651 et seq.). In addition to creating several new service programs, the Act consolidated the functions and activities of the former Commission on National and Community Service and the Federal agency ACTION.",91,https://www.federalregister.gov/api/v1/agencies/91,https://agency-logos.federalregister.gov/91/medium.jpg?1321482046,https://agency-logos.federalregister.gov/91/small.jpg?1321482046,https://agency-logos.federalregister.gov/91/thumb.jpg?1321482046,Corporation for National and Community Service,Corporation for National and Community Service,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=91&order=newest,CORP/CNCS,corporation-for-national-and-community-service,https://www.federalregister.gov/agencies/corporation-for-national-and-community-service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Council of the Inspectors General on Integrity and Efficiency (578),[federalregister] Council of the Inspectors General on Integrity and Efficiency (578),,,,,,,,,,,,,http://www.ignet.gov/cigie1.html,[],[],"The Council of the Inspectors General on Integrity and Efficiency (CIGIE) was established as an independent entity within the Executive branch under the Inspector General Reform Act of 2008.

Prior to its establishment of the CIGIE, the Federal Inspectors General operated under the auspices of the President's Council on Integrity and Efficiency (PCIE) and the Executive Council on Integrity and Efficiency (ECIE)

The mission of the CIGIE is to address integrity, economy and effectiveness issues that transcend individual Government agencies; and to increase the professionalism and effectiveness of personnel by developing policies, standards, and approaches to aid in the establishment of a well-trained and highly skilled workforce in the offices of the Inspectors General.",578,https://www.federalregister.gov/api/v1/agencies/578,https://agency-logos.federalregister.gov/578/medium.jpg?1323193024,https://agency-logos.federalregister.gov/578/small.jpg?1323193024,https://agency-logos.federalregister.gov/578/thumb.jpg?1323193024,Council of the Inspectors General on Integrity and Efficiency,Council of the Inspectors General on Integrity and Efficiency,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=578&order=newest,CIGIE,council-of-the-inspectors-general-on-integrity-and-efficiency,https://www.federalregister.gov/agencies/council-of-the-inspectors-general-on-integrity-and-efficiency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
/US FEDERAL GOVERNMENT/[federalregister] Court Services and Offender Supervision Agency for the District of Columbia (94),[federalregister] Court Services and Offender Supervision Agency for the District of Columbia (94),,,,,,,,,,,,,http://www.csosa.gov/,[],[],"The Court Services and Offender Supervision Agency for the District of Columbia (CSOSA) is a Federal, Executive branch agency, created by Congress in 1997 to perform the offender supervision function for D.C. Code offenders. It does so in coordination with the Superior Court of the District of Columbia and the U.S. Parole Commission. CSOSA's mission is to increase public safety, prevent crime, reduce recidivism, and support the fair administration of justice in close collaboration with the community. With a budget of $140 million and nearly 1,000 employees, CSOSA provides community supervision to 15,000 individuals on probation, parole or supervised release each day. [http://www.csosa.gov/about.aspx]",94,https://www.federalregister.gov/api/v1/agencies/94,,,,Court Services and Offender Supervision Agency for the District of Columbia,Court Services and Offender Supervision Agency for the District of Columbia,https://www.federalregister.gov/api/v1/documents?conditions%5Bagency_ids%5D%5B%5D=94&order=newest,CSOSA,court-services-and-offender-supervision-agency-for-the-district-of-columbia,https://www.federalregister.gov/agencies/court-services-and-offender-supervision-agency-for-the-district-of-columbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
