path,name,usagov_contact_0_link,usagov_contact_0_title,usagov_contact_1_link,usagov_contact_1_title,usagov_contact_2_link,usagov_contact_2_title,usagov_contact_3_link,usagov_contact_3_title,usagov_contact_4_link,usagov_contact_4_title,usagov_contact_5_link,usagov_contact_5_title,usagov_contact_6_link,usagov_contact_6_title,usagov_contact_7_link,usagov_contact_7_title,usagov_contact_8_link,usagov_contact_8_title,usagov_description,usagov_email_0_link,usagov_email_0_title,usagov_email_1_link,usagov_email_1_title,usagov_find_an_office_near_you_0_link,usagov_find_an_office_near_you_0_title,usagov_find_an_office_near_you_1_link,usagov_find_an_office_near_you_1_title,usagov_find_an_office_near_you_2_link,usagov_find_an_office_near_you_2_title,usagov_find_an_office_near_you_3_link,usagov_find_an_office_near_you_3_title,usagov_find_an_office_near_you_4_link,usagov_find_an_office_near_you_4_title,usagov_find_an_office_near_you_5_link,usagov_find_an_office_near_you_5_title,usagov_find_an_office_near_you_6_link,usagov_find_an_office_near_you_6_title,usagov_find_an_office_near_you_7_link,usagov_find_an_office_near_you_7_title,usagov_find_an_office_near_you_8_link,usagov_find_an_office_near_you_8_title,usagov_find_an_office_near_you_9_link,usagov_find_an_office_near_you_9_title,usagov_find_an_office_near_you_10_link,usagov_find_an_office_near_you_10_title,usagov_find_an_office_near_you_11_link,usagov_find_an_office_near_you_11_title,usagov_find_an_office_near_you_12_link,usagov_find_an_office_near_you_12_title,usagov_find_an_office_near_you_13_link,usagov_find_an_office_near_you_13_title,usagov_find_an_office_near_you_14_link,usagov_find_an_office_near_you_14_title,usagov_find_an_office_near_you_15_link,usagov_find_an_office_near_you_15_title,usagov_find_an_office_near_you_16_link,usagov_find_an_office_near_you_16_title,usagov_find_an_office_near_you_17_link,usagov_find_an_office_near_you_17_title,usagov_main_address_0,usagov_main_address_1,usagov_main_address_2,usagov_main_address_3,usagov_main_address_4,usagov_main_address_5,usagov_name,usagov_phone_number_0,usagov_phone_number_1,usagov_phone_number_2,usagov_toll-free_number_0,usagov_toll-free_number_1,usagov_toll-free_number_2,usagov_tty_0,usagov_tty_1,usagov_tty_2,usagov_website_0_link,usagov_website_0_title,usagov_website_1_link,usagov_website_1_title,usagov_website_2_link,usagov_website_2_title,usagov_website_3_link,usagov_website_3_title
/US FEDERAL GOVERNMENT/[usagov] National Institute of Allergy and Infectious Diseases,[usagov] National Institute of Allergy and Infectious Diseases,,,,,,,,,,,,,,,,,,,"NIAID provides health information on allergic, infectious, and immunologic diseases. Diseases include food allergy, sinusitis, and genital herpes. Consumers can call or write to the institute with questions and can order publications over the phone or on the Web site.",mailto:ocpostoffice@niaid.nih.gov,,mailto:ocpostoffice@niaid.nih.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5601 Fishers Lane,MSC 9806,"Bethesda,",MD,20892-9806,,National Institute of Allergy and Infectious Diseases,(301) 496-5717,,,1-866-284-4107,,,1-800-877-8339,,,http://www.niaid.nih.gov,National Institute of Allergy and Infectious Diseases (NIAID),,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Indian Gaming Commission,[usagov] National Indian Gaming Commission,https://www.nigc.gov/commission/contact-nigc/,,https://www.nigc.gov/commission/contact-nigc/,Contact the National Indian Gaming Commission,,,,,,,,,,,,,,,"The National Indian Gaming Commission is a regulatory body that oversees some aspects of gaming on Indian lands, often complementing the work of Indian regulators.",mailto:contactus@nigc.gov,,mailto:contactus@nigc.gov,,https://www.nigc.gov/compliance/regional-offices,,https://www.nigc.gov/compliance/regional-offices,Regional Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1849 C St., NW",Mail Stop 1621,"Washington,",DC,20240,,National Indian Gaming Commission,1-202-632-7003,,,,,,,,,https://www.nigc.gov/,National Indian Gaming Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Highway Traffic Safety Administration,[usagov] National Highway Traffic Safety Administration,http://www.nhtsa.gov/Contact,Contact the National Highway Traffic Safety Administration,https://www.nhtsa.gov/report-a-safety-problem,Report a Vehicle Safety Complaint,,,,,,,,,,,,,,,"The National Highway Traffic Safety Administration investigates safety defects in motor vehicles, sets and enforces fuel economy standards, helps states and local communities reduce the threat of drunk drivers, promotes the use of safety belts, child safety seats and air bags, investigates odometer fraud, establishes and enforces vehicle anti-theft regulations, conducts research on driver behavior and traffic safety, and provides consumer information on motor vehicle safety topics.",,,,,https://www.nhtsa.gov/equipment/car-seats-and-booster-seats#installation-help-inspection,,https://www.nhtsa.gov/equipment/car-seats-and-booster-seats#installation-help-inspection,Child Car Seat Fitting Station Locator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE",West Building,"Washington,",DC,20590,,National Highway Traffic Safety Administration,1-202-366-4000 (Department of Transportation Switchboard),,,1-888-327-4236,,,1-800-424-9153,,,https://www.nhtsa.gov,National Highway Traffic Safety Administration,,,,,,
"/US FEDERAL GOVERNMENT/[usagov] National Heart, Lung, and Blood Institute","[usagov] National Heart, Lung, and Blood Institute",https://www.nhlbi.nih.gov/about/contact,,https://www.nhlbi.nih.gov/about/contact,"Contact the National Heart, Lung, and Blood Institute",,,,,,,,,,,,,,,"The National Heart, Lung, and Blood Institute provides training, and education programs to promote the prevention and treatment of heart, lung, and blood diseases to enhance the health of all individuals.",mailto:nhlbiinfo@nhlbi.nih.gov,,mailto:nhlbiinfo@nhlbi.nih.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31 Center Dr.,P.O. Box 30105,"Bethesda,",MD,20824-0105,,"National Heart, Lung, and Blood Institute",1-301-592-8573,,,,,,1-240-629-3255,,,https://www.nhlbi.nih.gov/,"National Heart, Lung and Blood Institute (NHLBI)",,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Health Information Center,[usagov] National Health Information Center,https://health.gov/node/161,,https://health.gov/node/161,Contact the National Health Information Center,,,,,,,,,,,,,,,The National Health Information Center helps connect health professionals and consumers to the organizations that can best answer their questions by providing up-to-date contact information for the most reliable resources.,mailto:info@nhic.org,,mailto:info@nhic.org,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1101 Wooten Parkway,Suite LL100,"Rockville,",MD,20852,,National Health Information Center,,,,,,,,,,https://health.gov/our-work/health-literacy/resources/national-health-information-center,National Health Information Center (NHIC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Guard,[usagov] National Guard,https://www.nationalguard.mil/Resources/Contact.aspx,,https://www.nationalguard.mil/Resources/Contact.aspx,Contact the National Guard,,,,,,,,,,,,,,,"The National Guard provides trained units to the states, territories and the District of Columbia to protect life and property. The Guard also provides trained units to defend the United States and its interests all over the globe.",mailto:publicwebsite@ng.army.mil,,mailto:publicwebsite@ng.army.mil,,https://www.nationalguard.mil/Resources/State-Websites/,,https://www.nationalguard.mil/Resources/State-Websites/,Locate a National Guard Unit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111 South George Mason Dr.,"Arlington,",VA,22204,,,National Guard,1-703-607-2584,,,1-800-464-8273 (Army National Guard Recruiting),1-800-864-6264 (Air National Guard Recruiting),,,,,https://www.nationalguard.mil/,National Guard,https://www.nationalguard.com/,Army National Guard Recruiting,https://www.goang.com/,Air National Guard Recruiting,,
/US FEDERAL GOVERNMENT/[usagov] National Geospatial-Intelligence Agency,[usagov] National Geospatial-Intelligence Agency,https://www.nga.mil/contact/Contact_Us.html,,https://www.nga.mil/contact/Contact_Us.html,Contact the National Geospatial-Intelligence Agency,,,,,,,,,,,,,,,The National Geospatial-Intelligence Agency provides location-based intelligence in support of national security.,mailto:publicaffairs@nga.mil,,mailto:publicaffairs@nga.mil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public Affairs, MS N73-OCCAE",7500 GEOINT Dr.,"Springfield,",VA,22150-7500,,National Geospatial-Intelligence Agency,1-571-557-5400,,,,,,,,,http://www.nga.mil/,National Geospatial-Intelligence Agency,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Gallery of Art,[usagov] National Gallery of Art,http://www.nga.gov/content/ngaweb/contact-us.html,,http://www.nga.gov/content/ngaweb/contact-us.html,Contact the National Gallery of Art,,,,,,,,,,,,,,,"The National Gallery of Art collects, preserves and exhibits art works, and works to promote the understanding of art through research and educational programs.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4th and Constitution Ave., NW","Washington,",DC,20565,,,National Gallery of Art,1-202-737-4215,1-202-842-6690 (Accessibility Information),,,,,1-202-842-6247,,,http://www.nga.gov/,National Gallery of Art,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Flood Insurance Program,[usagov] National Flood Insurance Program,https://www.floodsmart.gov/contact,,https://www.floodsmart.gov/contact,Contact the National Flood Insurance Program,,,,,,,,,,,,,,,National Flood Insurance Program provides affordable insurance to property owners and encourages communities to adopt and enforce floodplain management regulations.,mailto:FloodSmart@dhs.gov,,mailto:FloodSmart@dhs.gov,,https://www.fema.gov/about/contact,,https://www.fema.gov/about/contact,Regional Offices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FEMA,"500 C St., SW","Washington,",DC,20472,,National Flood Insurance Program,,,,1-888-379-9531,,,1-800-720-1090,,,https://www.floodsmart.gov/,National Flood Insurance Program (NFIP),,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Endowment for the Humanities,[usagov] National Endowment for the Humanities,http://www.neh.gov/about/contact,Contact the National Endowment for the Humanities,http://www.neh.gov/about/staff,Staff Directory,,,,,,,,,,,,,,,"The National Endowment for the Humanities funds humanities programs in the United States such as museums, archives, libraries, colleges, universities, public television, radio stations, and individual scholars.",mailto:info@neh.gov,,mailto:info@neh.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 7th St., SW","Washington,",DC,20506,,,National Endowment for the Humanities,1-202-606-8400,,,1-800-634-1121,,,1-866-372-2930,1-202-606-8282,,http://www.neh.gov,National Endowment for the Humanities,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Endowment for the Arts,[usagov] National Endowment for the Arts,https://www.arts.gov/about/leadership-staff,Contact the National Endowment for the Arts,https://www.arts.gov/about/leadership-staff,Staff Directory,,,,,,,,,,,,,,,"The National Endowment for the Arts funds, promotes, and strengthens the creative capacity of our communities by providing all Americans with opportunities for arts participation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 7th St., SW","Washington,",DC,20506-0001,,,National Endowment for the Arts,1-202-682-5400,,,,,,1-202-682-5496,,,https://www.arts.gov/,National Endowment for the Arts,,,,,,
/US FEDERAL GOVERNMENT/[usagov] College of Information and Cyberspace,[usagov] College of Information and Cyberspace,https://cic.ndu.edu/Contact/Contact-Us/,,https://cic.ndu.edu/Contact/Contact-Us/,Contact the College of Information and Cyberspace,,,,,,,,,,,,,,,The College of Information and Cyberspace (NDU) offers military and civilian learners educational opportunities in the fields of information technology and cyber security.,mailto:iCollegeOSS@ndu.edu,,mailto:iCollegeOSS@ndu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 5th Ave., Marshall Hall",Fort McNair,"Washington,",DC,20319-5066,,College of Information and Cyberspace,1-202-685-6300,,,,,,,,,https://cic.ndu.edu/,College of Information and Cyberspace (NDU),,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Defense University,[usagov] National Defense University,http://www.ndu.edu/Contact/,,http://www.ndu.edu/Contact/,Contact the National Defense University,,,,,,,,,,,,,,,The National Defense University provides educational opportunities for military personnel and civilians.,mailto:NDUWebmaster@ndu.edu,,mailto:NDUWebmaster@ndu.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300 5th Ave.,Bldg. 62,"Fort McNair,",DC,20319-5066,,National Defense University,1-202-685-2128,,,,,,,,,http://www.ndu.edu/,National Defense University,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Credit Union Administration,[usagov] National Credit Union Administration,https://www.ncua.gov/contact-us,,https://www.ncua.gov/contact-us,Contact the National Credit Union Administration,,,,,,,,,,,,,,,"The National Credit Union Administration charters and supervises federal credit unions, and insures savings in federal and most state-chartered credit unions.",mailto:consumerassistance@ncua.gov,,mailto:consumerassistance@ncua.gov,,https://mapping.ncua.gov/,,https://mapping.ncua.gov/,Find a Credit Union,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1775 Duke St.,"Alexandria,",VA,22314-3428,,,National Credit Union Administration,1-703-518-6300,,,1-800-755-1030,1-800-755-5999 (Investments Hotline),1-800-827-9650 (Fraud Hotline),,,,https://www.ncua.gov/,National Credit Union Administration,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Council on Disability,[usagov] National Council on Disability,https://ncd.gov/about,,https://ncd.gov/about,Contact the National Council on Disability,,,,,,,,,,,,,,,"The National Council on Disability makes recommendations to the President and Congress on policies affecting Americans with disabilities. They empower individuals with disabilities, and promote equal opportunity.",mailto:ncd@ncd.gov,,mailto:ncd@ncd.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1331 F St., NW",Suite 850,"Washington,",DC,20004,,National Council on Disability,1-202-272-2004,,,,,,,,,https://ncd.gov/,National Council on Disability,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Constitution Center,[usagov] National Constitution Center,https://constitutioncenter.org/about/contact,,https://constitutioncenter.org/about/contact,Contact the National Constitution Center,,,,,,,,,,,,,,,The National Constitution Center is a state-of-the-art museum dedicated to the study of the U.S. Constitution. The museum is also a national hub for constitutional education and outreach.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,525 Arch St.,"Philadelphia,",PA,19106,,,National Constitution Center,1-215-409-6600,1-215-409-6700 (for Tickets),,,,,,,,https://constitutioncenter.org/,National Constitution Center,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Center for Complementary and Integrative Health,[usagov] National Center for Complementary and Integrative Health,https://www.nccih.nih.gov/tools/emailnccih,,https://www.nccih.nih.gov/tools/emailnccih,Contact the NCCIH Clearinghouse,,,,,,,,,,,,,,,The National Center for Complementary and Integrative Health (NCCIH) conducts and supports research and provides information about complementary health products and practices. It is part of the National Institutes of Health.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000 Rockville Pike,"Bethesda,",MD,20892,,,National Center for Complementary and Integrative Health,,,,1-888-644-6226,,,,,,https://www.nccih.nih.gov/,National Center for Complementary and Integrative Health,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Cemetery Administration,[usagov] National Cemetery Administration,http://www.va.gov/landing2_contact.htm,,http://www.va.gov/landing2_contact.htm,Contact the National Cemetery Administration,,,,,,,,,,,,,,,"The National Cemetery Administration provides burial space for Veterans and their eligible family members, and maintains national cemeteries as national shrines, sacred to the honor and memory of those interred or memorialized there.",,,,,https://www.cem.va.gov/cems/listcem.asp,Find a National Cemetery,http://gravelocator.cem.va.gov/,Veterans' Gravesite Locator,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"810 Vermont Ave., NW","Washington,",DC,20420,,,National Cemetery Administration,,,,1-800-827-1000,1-800-697-6947 (Status of Headstones and Markers),,1-800-829-4833,,,http://www.cem.va.gov/,National Cemetery Administration,,,,,,
/US FEDERAL GOVERNMENT/[usagov] National Capital Planning Commission,[usagov] National Capital Planning Commission,https://www.ncpc.gov/about/,,https://www.ncpc.gov/about/,Contact the National Capital Planning Commission,,,,,,,,,,,,,,,"The National Capital Planning Commission crafts long-range plans and policies for the National Capital Region. The Commission provides building and zoning advice to Washington, DC and the surrounding area, and approves various federal construction plans.",mailto:info@ncpc.gov,,mailto:info@ncpc.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"401 9th St., NW","North Lobby, Suite 500","Washington,",DC,20004,,National Capital Planning Commission,1-202-482-7200,,,,,,,,,http://www.ncpc.gov/,National Capital Planning Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of the Federal Register,[usagov] Office of the Federal Register,https://www.archives.gov/federal-register/contact.html,,https://www.archives.gov/federal-register/contact.html,Contact the Office of the Federal Register,,,,,,,,,,,,,,,"The Office of the Federal Register oversees the Federal Register publication system, making available the full text of federal laws and regulations, presidential documents, and other federal program information.",mailto:fedreg.info@nara.gov,,mailto:fedreg.info@nara.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8601 Adelphi Rd.,"College Park,",MD,20740-6001,,,Office of the Federal Register,1-202-741‐6000,,,,,,1-202-741-6086,,,https://www.archives.gov/federal-register,Office of the Federal Register,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of the Director of National Intelligence,[usagov] Office of the Director of National Intelligence,https://www.dni.gov/,,https://www.dni.gov/,Contact the Office of the Director of National Intelligence,,,,,,,,,,,,,,,The Office of the Director of National Intelligence integrates the intelligence gathering and analysis functions performed across the intelligence community to provide intelligence to decision makers.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Office of the Director of National Intelligence,"Washington,",DC,20511,,,Office of the Director of National Intelligence,1-703-733-8600,,,,,,,,,https://www.dni.gov/,Office of the Director of National Intelligence,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of the Comptroller of the Currency,[usagov] Office of the Comptroller of the Currency,http://www.occ.gov/about/contact-us/general-correspondence/index-contact-us.html,Contact the Office of the Comptroller of the Currency,http://www.helpwithmybank.gov/contact-us/contact-the-occ.html,File a Complaint Against a Bank,,,,,,,,,,,,,,,"The Office of the Comptroller of the Currency charters, regulates, and supervises all national banks. It also supervises the federal branches and agencies of foreign banks.",mailto:publicaffairs3@occ.treas.gov,,mailto:publicaffairs3@occ.treas.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"400 7th St., SW",Suite 3E-218,"Washington,",DC,20219,,Office of the Comptroller of the Currency,1-202-649-6800,,,,,,,,,http://www.occ.gov/,Office of the Comptroller of the Currency (OCC),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of the Assistant Secretary for Research and Technology,[usagov] Office of the Assistant Secretary for Research and Technology,https://www.transportation.gov/content/ost-r,,https://www.transportation.gov/content/ost-r,Contact the Office of the Assistant Secretary for Research and Technology,,,,,,,,,,,,,,,The Office of the Assistant Secretary for Research and Technology coordinates the Department of Transportation's research initiatives and deploys new technologies.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1200 New Jersey Ave., SE","Washington,",DC,20590,,,Office of the Assistant Secretary for Research and Technology,1-202-366-3282,,,1-800-853-1351,,,,,,https://www.transportation.gov/taxonomy/term/12686,Office of the Assistant Secretary for Research and Technology,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Personnel Management,[usagov] Office of Personnel Management,https://www.opm.gov/about-us/contact-us/,,https://www.opm.gov/about-us/contact-us/,Contact the Office of Personnel Management,,,,,,,,,,,,,,,"The Office of Personnel Management manages the civil service of the federal government, coordinates recruiting of new government employees, and manages their health insurance and retirement benefits programs. They  also provide resources for locating student jobs, summer jobs, scholarships, and internships.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1900 E St., NW","Washington,",DC,20415,,,Office of Personnel Management,1-202-606-1800,,,,,,1-800-877-8339,,,https://www.opm.gov/,Office of Personnel Management,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Nuclear Energy,[usagov] Office of Nuclear Energy,https://www.energy.gov/ne/contact-us,,https://www.energy.gov/ne/contact-us,Contact the Office of Nuclear Energy,,,,,,,,,,,,,,,"The Office of Nuclear Energy works to improve the safety, cost, security, and efficiency of nuclear energy generation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 Independence Ave., SW","Washington,",DC,20585,,,Office of Nuclear Energy,1-202-586-5000,,,,,,1-800-877-8339,,,https://www.energy.gov/ne/office-nuclear-energy,"Nuclear Energy, Science and Technology",,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Natural Resources Revenue,[usagov] Office of Natural Resources Revenue,https://onrr.gov/about/contact.htm,,https://onrr.gov/about/contact.htm,Contact the Office of Natural Resources Revenue,,,,,,,,,,,,,,,The Office of Natural Resources Revenue manages the revenues from energy and mineral leases for the use of public natural resources on the Outer Continental Shelf and onshore Federal and American Indian lands.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1849 C St., NW",Mail Stop 4211,"Washington,",DC,20240,,Office of Natural Resources Revenue,1-202-513-0600,,,,,,,,,https://onrr.gov/,Office of Natural Resources Revenue,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of National Drug Control Policy,[usagov] Office of National Drug Control Policy,https://www.whitehouse.gov/contact,,https://www.whitehouse.gov/contact,Contact the Office of National Drug Control Policy,,,,,,,,,,,,,,,The Office of National Drug Control Policy advises the president on drug-control issues.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,The White House,"1600 Pennsylvania Ave., NW","Washington,",DC,20500,,Office of National Drug Control Policy,,,,,,,,,,http://www.whitehouse.gov/ondcp,Office of National Drug Control Policy,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Management and Budget,[usagov] Office of Management and Budget,https://www.whitehouse.gov/omb/,,https://www.whitehouse.gov/omb/,Contact the Office of Management and Budget,,,,,,,,,,,,,,,"The Office of Management and Budget oversees the performance of federal agencies, and administers the federal budget.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"725 17th St., NW","Washington,",DC,20503,,,Office of Management and Budget,1-202-395-3080,,,,,,,,,https://www.whitehouse.gov/omb/,Office of Management and Budget (OMB),,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Local Defense Community Cooperation,[usagov] Office of Local Defense Community Cooperation,https://oldcc.gov/contact-us,,https://oldcc.gov/contact-us,Contact the Office of Local Defense Community Cooperation,,,,,,,,,,,,,,,The Office of Local Defense Community Cooperation helps states and communities adjust to major changes related local Department of Defense activities and installations.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2231 Crystal Dr.,Suite 520,"Arlington,",VA,22202,,Office of Local Defense Community Cooperation,1-703-697-2130,,,,,,,,,https://oldcc.gov/,Office of Local Defense Community Cooperation,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Lead Hazard Control and Healthy Homes,[usagov] Office of Lead Hazard Control and Healthy Homes,https://www.hud.gov/sites/dfiles/HH/documents/2020OLHCHHRoster_06-24.pdf,Office of Lead Hazard Control and Healthy Homes,https://www.epa.gov/lead/forms/lead-hotline-national-lead-information-center,Contact the National Lead Information Center,,,,,,,,,,,,,,,The Office of Lead Hazard Control and Healthy Homes works to make private homes safe from lead and other harmful materials.,,,,,https://www.hud.gov/program_offices/field_policy_mgt/localoffices,,https://www.hud.gov/program_offices/field_policy_mgt/localoffices,Find an Office Near You,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW","Washington,",DC,20410,,,Office of Lead Hazard Control and Healthy Homes,,,,1-202-708-1112,1-800-424-5323 (National Lead Information Center),,1-202-708-1455,,,https://www.hud.gov/program_offices/healthy_homes,Office of Lead Hazard Control and Healthy Homes,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Investor Education and Advocacy,[usagov] Office of Investor Education and Advocacy,http://www.sec.gov/complaint/select.shtml,,http://www.sec.gov/complaint/select.shtml,Contact the Office of Investor Education and Advocacy,,,,,,,,,,,,,,,The Office of Investor Education and Advocacy serves individual investors and is ready to assist you in resolving your complaints and answering questions.,mailto:help@sec.gov,,mailto:help@sec.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 F St., NE","Washington,",DC,20549-0213,,,Office of Investor Education and Advocacy,,,,1-800-732-0330,,,,,,https://www.investor.gov/,Office of Investor Education and Advocacy,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Office of Fossil Energy,[usagov] Office of Fossil Energy,https://www.energy.gov/fe/contact-us,,https://www.energy.gov/fe/contact-us,Contact the Office of Fossil Energy,,,,,,,,,,,,,,,"The Office of Fossil Energy is responsible for research and development of programs involving coal, petroleum, and natural gas.",mailto:FECommunications@hq.doe.gov,,mailto:FECommunications@hq.doe.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1000 Independence Ave., SW","Washington,",DC,20585,,,Office of Fossil Energy,1-202-586-6660,,,,,,,,,https://www.energy.gov/fe/office-fossil-energy,Office of Fossil Energy,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Public Diplomacy and Public Affairs,[usagov] Public Diplomacy and Public Affairs,https://register.state.gov/contactus/contactusform,,https://register.state.gov/contactus/contactusform,Contact Public Diplomacy and Public Affairs,,,,,,,,,,,,,,,Public Diplomacy and Public Affairs enhances national security by expanding and strengthening the relationship between the people and Government of the United States and citizens of the rest of the world.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AK,,,,,,Public Diplomacy and Public Affairs,,,,,,,,,,https://www.state.gov/bureaus-offices/under-secretary-for-public-diplomacy-and-public-affairs/,Public Diplomacy and Public Affairs,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Public and Indian Housing,[usagov] Public and Indian Housing,https://www.hud.gov/program_offices/public_indian_housing/about/css,,https://www.hud.gov/program_offices/public_indian_housing/about/css,Contact Public and Indian Housing,,,,,,,,,,,,,,,"The Office of Public and Indian Housing works to ensure safe, decent and affordable housing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"451 7th St., SW","Washington,",DC,20410,,,Public and Indian Housing,,,,1-800-955-2232,,,,,,https://www.hud.gov/program_offices/public_indian_housing,Public and Indian Housing,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Susquehanna River Basin Commission,[usagov] Susquehanna River Basin Commission,https://www.srbc.net/contact-us.html,,https://www.srbc.net/contact-us.html,Contact the Susquehanna River Basin Commission,,,,,,,,,,,,,,,"The Susquehanna River Basin Commission is an interstate body, with representatives from New York, Maryland, Pennsylvania and the federal government, that manages the environmental stewardship and economic development of the Susquehanna river and its tributaries.",mailto:srbc@srbc.net,,mailto:srbc@srbc.net,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4423 N. Front St.,"Harrisburg,",PA,17110-1788,,,Susquehanna River Basin Commission,1-717-238-0423,,,,,,,,,http://www.srbc.net/,Susquehanna River Basin Commission,,,,,,
/US FEDERAL GOVERNMENT/[usagov] Surface Transportation Board,[usagov] Surface Transportation Board,https://prod.stb.gov/,,https://prod.stb.gov/,Contact the Surface Transportation Board,,,,,,,,,,,,,,,"The Surface Transportation Board regulates and decides disputes involving railroad rates, railroad mergers or line sales, and certain other transportation matters.",mailto:rcpa@stb.gov,,mailto:rcpa@stb.gov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"395 E St., SW","Washington,",DC,20423-0001,,,Surface Transportation Board,1-202-245-0245,,,,,,1-800-877-8339 (Federal Relay Service),,,https://www.stb.gov/,Surface Transportation Board,,,,,,
